Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,122,-3.20,1,144,0,43,35,0.35,13,0.26,122,-4.507944
2,10,19.19,1,144,1,43,6,0.06,3,0.06,66,5.768819
3,358,26.87,3,144,1,43,76,0.76,30,0.60,163,10.88076
4,295,-28.46,1,144,0,43,99,0.99,47,0.94,196,0.3889503
5,385,-9.70,3,144,0,43,96,0.96,53,1.06,234,-2.448986
6,75,4.01,0,144,0,43,4,0.04,2,0.04,207,-1.385816
7,190,-18.42,1,144,0,43,47,0.47,15,0.30,205,-4.029096
8,166,15.87,1,144,1,43,54,0.54,19,0.38,200,-2.033828
9,109,1.57,0,144,0,43,10,0.10,4,0.08,190,-1.653933
10,439,22.01,5,144,1,43,125,1.25,54,1.08,214,-0.1003914
11,85,3.50,2,144,0,43,26,0.26,14,0.28,203,0.05167329
12,150,25.89,3,144,0,43,24,0.24,7,0.14,198,1.999741
13,40,1.29,1,144,0,43,11,0.11,3,0.06,186,1.879018
14,56,24.05,1,144,1,43,13,0.13,0,0.00,177,3.23791
15,15,18.46,1,144,1,43,3,0.03,4,0.08,166,4.044028
16,136,0.92,1,144,0,43,27,0.27,11,0.22,164,3.775
17,27,12.71,2,144,0,43,3,0.03,1,0.02,156,4.215812
18,0,-3.00,0,144,0,43,0,0.00,0,0.00,147,3.814934
19,431,12.42,2,144,2,43,100,1.00,55,1.10,162,3.839437
20,191,2.92,0,144,0,43,40,0.40,13,0.26,164,3.760313
21,336,20.13,3,144,1,43,111,1.11,34,0.68,172,4.244799
22,140,34.55,1,144,1,43,15,0.15,7,0.14,170,5.472052
23,78,4.97,0,144,0,43,7,0.07,2,0.04,166,5.445596
24,70,13.81,2,144,0,43,10,0.10,3,0.06,162,5.729519
25,326,27.53,2,144,1,43,73,0.73,31,0.62,169,6.399057
26,516,54.44,4,144,2,43,122,1.22,49,0.98,182,7.876572
27,32,25.87,2,144,1,43,14,0.14,1,0.02,176,8.399379
28,311,25.20,4,144,1,43,93,0.93,41,0.82,181,8.75453
29,347,44.07,4,144,2,43,70,0.70,44,0.88,187,9.661695
30,268,17.15,3,144,0,43,55,0.55,23,0.46,190,9.808117
31,312,1.91,2,144,1,43,100,1.00,44,0.88,194,9.372816
32,197,40.73,6,144,0,43,40,0.40,18,0.36,194,10.19862
33,87,15.41,1,144,0,43,8,0.08,2,0.04,190,10.33186
34,296,36.05,2,144,1,43,48,0.48,21,0.42,194,10.95264
35,531,-41.87,6,144,0,43,191,1.91,96,1.92,203,9.215058
36,433,-25.00,1,144,1,43,118,1.18,81,1.62,210,8.10294
37,198,-0.77,2,144,0,43,66,0.66,21,0.42,209,7.796294
38,385,20.02,2,144,2,43,102,1.02,49,0.98,214,7.906397
39,259,65.08,2,144,2,43,30,0.30,7,0.14,215,9.206354
40,86,12.26,1,144,0,43,7,0.07,1,0.02,212,9.262959
41,90,-0.27,0,144,0,43,12,0.12,9,0.18,209,9.023161
