Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,694,-7.83,4,144,2,43,339,3.39,275,5.50,694,-24.15388
2,23,9.25,2,144,0,43,10,0.10,10,0.20,358,-8.298428
3,151,-10.36,1,144,0,43,85,0.85,75,1.50,289,-10.0001
4,37,1.59,1,144,0,43,15,0.15,10,0.20,226,-7.362759
5,621,-41.94,3,144,1,43,265,2.65,350,7.00,305,-17.09055
6,504,-54.32,3,144,0,43,225,2.25,245,4.90,338,-24.83418
7,83,-2.27,1,144,0,43,35,0.35,33,0.66,301,-21.85419
8,102,-12.79,0,144,0,43,50,0.50,50,1.00,276,-20.90844
9,242,-0.80,1,144,1,43,142,1.42,107,2.14,273,-19.40539
10,344,23.42,4,144,1,43,196,1.96,110,2.20,280,-16.04959
11,874,-97.95,4,144,0,43,475,4.75,445,8.90,334,-24.98872
12,104,8.27,1,144,1,43,45,0.45,64,1.28,314,-22.61339
13,0,-3.00,0,144,0,43,0,0.00,0,0.00,290,-21.10467
14,1129,-90.47,6,144,2,43,518,5.18,580,11.60,350,-27.88781
15,231,-35.41,0,144,0,43,134,1.34,140,2.80,342,-28.66552
16,99,-9.39,1,144,0,43,55,0.55,43,0.86,327,-27.59221
17,697,-30.54,3,144,2,43,340,3.40,285,5.70,349,-28.6973
18,37,-2.84,1,144,0,43,37,0.37,15,0.30,331,-27.33637
19,374,-8.43,2,144,1,43,186,1.86,186,3.72,334,-26.83024
