Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,1370,19.86,6,144,1,43,215,2.15,73,1.46,1370,9.758793
2,682,-95.54,1,144,1,43,246,2.46,153,3.06,1026,-47.15969
3,47,23.26,1,144,1,43,6,0.06,3,0.06,699,-24.73243
4,179,-13.54,1,144,0,43,59,0.59,28,0.56,569,-22.39595
5,527,27.83,4,144,2,43,181,1.81,78,1.56,561,-14.50963
6,927,53.68,4,144,1,43,115,1.15,55,1.10,622,-4.369956
7,190,12.39,1,144,1,43,56,0.56,25,0.50,560,-2.55913
8,475,10.17,2,144,1,43,70,0.70,36,0.72,549,-1.610029
9,276,-4.09,3,144,0,43,103,1.03,30,0.60,519,-2.297663
10,85,-7.70,0,144,0,43,18,0.18,7,0.14,475,-2.869917
11,0,-3.00,0,144,0,43,0,0.00,0,0.00,432,-2.881743
12,141,-13.14,1,144,0,43,24,0.24,21,0.42,408,-3.849188
13,275,4.20,1,144,1,43,71,0.71,27,0.54,398,-3.558393
14,138,3.37,1,144,0,43,36,0.36,14,0.28,379,-3.158631
15,71,-0.59,1,144,0,43,17,0.17,12,0.24,358,-3.060891
16,63,-4.15,0,144,0,43,10,0.10,10,0.20,340,-3.14771
17,108,22.54,1,144,1,43,20,0.20,8,0.16,326,-1.835327
18,503,-54.50,2,144,2,43,212,2.12,118,2.36,336,-5.345389
19,61,-6.42,0,144,0,43,15,0.15,6,0.12,322,-5.416397
20,82,24.23,1,144,1,43,21,0.21,5,0.10,310,-4.100775
21,490,-14.30,3,144,0,43,150,1.50,75,1.50,318,-4.828322
22,354,18.17,2,144,1,43,75,0.75,39,0.78,320,-4.021257
23,328,15.30,1,144,0,43,35,0.35,6,0.12,320,-3.231973
24,280,24.64,2,144,1,43,75,0.75,15,0.30,318,-2.269006
25,110,15.74,1,144,0,43,15,0.15,4,0.08,310,-1.585783
26,87,16.91,0,144,1,43,14,0.14,9,0.18,301,-0.97629
27,183,24.56,1,144,1,43,37,0.37,14,0.28,297,-0.1662863
28,195,52.81,2,144,2,43,41,0.41,8,0.16,293,1.489715
29,432,24.15,5,144,1,43,134,1.34,54,1.08,298,1.987613
30,175,-2.38,4,144,0,43,66,0.66,38,0.76,294,1.702175
31,31,4.29,1,144,0,43,5,0.05,1,0.02,285,1.76102
32,52,23.75,1,144,1,43,13,0.13,1,0.02,278,2.348977
33,109,3.56,2,144,0,43,38,0.38,16,0.32,273,2.322274
34,187,8.17,4,144,1,43,79,0.79,51,1.02,270,2.290938
35,431,-24.12,0,144,0,43,15,0.15,9,0.18,275,1.526978
36,322,46.63,1,144,2,43,71,0.71,17,0.34,276,2.602319
37,353,2.82,0,144,0,43,40,0.40,8,0.16,278,2.593062
38,1053,-0.15,7,144,3,43,279,2.79,152,3.04,299,2.055992
39,51,0.83,1,144,0,43,21,0.21,4,0.08,292,1.999233
40,0,-3.00,0,144,0,43,0,0.00,0,0.00,285,1.874252
41,14,16.27,1,144,1,43,7,0.07,4,0.08,278,2.147991
42,327,0.20,1,144,0,43,36,0.36,13,0.26,280,2.070337
43,80,18.03,0,144,1,43,21,0.21,3,0.06,275,2.381182
44,108,3.64,1,144,0,43,24,0.24,7,0.14,271,2.38527
45,206,-3.45,1,144,0,43,50,0.50,18,0.36,270,2.220991
46,57,5.53,1,144,0,43,8,0.08,1,0.02,265,2.27563
47,49,11.05,1,144,0,43,5,0.05,1,0.02,260,2.446126
48,81,17.37,0,144,1,43,16,0.16,8,0.16,257,2.70196
49,52,24.90,1,144,1,43,9,0.09,1,0.02,253,3.091151
50,16,2.09,1,144,0,43,6,0.06,1,0.02,248,3.055668
51,161,26.42,2,144,1,43,44,0.44,20,0.40,246,3.424547
52,235,-3.23,0,144,1,43,59,0.59,29,0.58,246,3.229295
53,137,3.19,1,144,0,43,37,0.37,12,0.24,244,3.203897
54,84,7.55,1,144,0,43,7,0.07,1,0.02,241,3.26982
55,0,-3.00,0,144,0,43,0,0.00,0,0.00,236,3.155823
56,430,-53.84,3,144,0,43,157,1.57,96,1.92,240,2.038579
57,48,-0.97,1,144,0,43,16,0.16,9,0.18,236,1.967714
58,149,19.00,1,144,1,43,45,0.45,15,0.30,235,2.196332
59,97,4.76,0,144,0,43,9,0.09,2,0.04,233,2.237604
60,51,25.55,1,144,1,43,9,0.09,0,0.00,230,2.574261
61,165,-5.63,0,144,0,43,33,0.33,17,0.34,229,2.428831
62,302,45.14,4,144,1,43,56,0.56,23,0.46,230,3.018968
63,116,24.81,1,144,1,43,32,0.32,8,0.16,228,3.309322
64,379,33.52,3,144,2,43,113,1.13,41,0.82,230,3.645679
65,121,15.00,0,144,1,43,35,0.35,12,0.24,229,3.775459
66,109,-6.64,0,144,0,43,27,0.27,16,0.32,227,3.608744
67,65,6.20,1,144,0,43,8,0.08,2,0.04,224,3.635329
68,17,3.56,1,144,0,43,7,0.07,1,0.02,221,3.622709
69,189,27.59,2,144,1,43,54,0.54,15,0.30,221,3.904124
70,46,1.63,1,144,0,43,13,0.13,4,0.08,218,3.858781
71,200,34.25,2,144,1,43,44,0.44,12,0.24,218,4.224904
72,18,21.27,1,144,1,43,6,0.06,1,0.02,215,4.418645
73,126,28.43,3,144,1,43,29,0.29,20,0.40,214,4.677787
74,115,24.06,1,144,1,43,30,0.30,10,0.20,213,4.892076
