Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty
1,270,7.48,2,151,0,43,140,1.40,140,2.80
2,0,-3.00,0,151,0,43,0,0.00,0,0.00
3,76,3.68,0,151,1,43,44,0.44,39,0.78
4,0,-3.00,0,151,0,43,0,0.00,0,0.00
5,487,25.04,3,151,2,43,222,2.22,240,4.80
6,0,-3.00,0,151,0,43,0,0.00,0,0.00
7,322,11.74,2,151,1,43,164,1.64,147,2.94
8,0,-3.00,0,151,0,43,0,0.00,0,0.00
9,319,8.53,1,151,1,43,175,1.75,147,2.94
10,167,9.47,0,151,1,43,70,0.70,92,1.84
11,0,-3.00,0,151,0,43,0,0.00,0,0.00
12,813,7.16,2,151,1,43,410,4.10,394,7.88
13,0,-3.00,0,151,0,43,0,0.00,0,0.00
14,527,10.85,2,151,1,43,281,2.81,276,5.52
15,105,1.27,1,151,0,43,63,0.63,52,1.04
16,0,-3.00,0,151,0,43,0,0.00,0,0.00
17,934,9.44,4,151,0,43,499,4.99,494,9.88
18,83,2.14,1,151,0,43,41,0.41,43,0.86
19,0,-3.00,0,151,0,43,0,0.00,0,0.00
20,67,0.70,0,151,0,43,30,0.30,30,0.60
21,0,-3.00,0,151,0,43,0,0.00,0,0.00
22,47,3.19,0,151,1,43,27,0.27,25,0.50
23,0,-3.00,0,151,0,43,0,0.00,0,0.00
24,126,0.51,0,151,0,43,61,0.61,54,1.08
25,0,-3.00,0,151,0,43,0,0.00,0,0.00
26,243,3.64,1,151,0,43,106,1.06,115,2.30
27,0,-3.00,0,151,0,43,0,0.00,0,0.00
28,198,2.06,1,151,0,43,99,0.99,95,1.90
29,0,-3.00,0,151,0,43,0,0.00,0,0.00
30,708,22.28,8,151,1,43,328,3.28,342,6.84
31,0,-3.00,0,151,0,43,0,0.00,0,0.00
32,118,4.74,3,151,0,43,60,0.60,57,1.14
33,0,-3.00,0,151,0,43,0,0.00,0,0.00
34,51,-1.23,1,151,0,43,26,0.26,22,0.44
35,0,-3.00,0,151,0,43,0,0.00,0,0.00
36,153,1.97,1,151,0,43,76,0.76,69,1.38
37,0,-3.00,0,151,0,43,0,0.00,0,0.00
38,100,4.89,0,151,1,43,51,0.51,45,0.90
39,0,-3.00,0,151,0,43,0,0.00,0,0.00
40,80,-0.96,1,151,0,43,40,0.40,42,0.84
41,0,-3.00,0,151,0,43,0,0.00,0,0.00
42,58,-1.03,1,151,0,43,28,0.28,31,0.62
43,0,-3.00,0,151,0,43,0,0.00,0,0.00
