Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty
1,1007,-371.48,3,151,0,43,471,4.71,523,10.46
2,369,-123.73,0,151,0,43,159,1.59,184,3.68
3,113,-39.48,3,151,0,43,54,0.54,61,1.22
4,0,-3.00,0,151,0,43,0,0.00,0,0.00
5,174,-64.13,0,151,0,43,90,0.90,81,1.62
6,292,-88.41,2,151,0,43,146,1.46,122,2.44
7,52,-18.81,0,151,0,43,29,0.29,20,0.40
8,146,-50.01,1,151,0,43,69,0.69,74,1.48
9,408,-144.42,3,151,0,43,217,2.17,204,4.08
10,62,-16.66,0,151,1,43,32,0.32,30,0.60
11,36,-16.71,0,151,0,43,20,0.20,22,0.44
12,320,-107.34,1,151,0,43,164,1.64,158,3.16
13,482,-161.17,3,151,1,43,253,2.53,242,4.84
14,203,-66.89,1,151,1,43,99,0.99,106,2.12
15,39,-19.06,1,151,0,43,23,0.23,25,0.50
16,930,-296.61,5,151,1,43,440,4.40,459,9.18
17,1772,-623.89,1,151,1,43,901,9.01,833,16.66
18,162,-56.30,2,151,0,43,85,0.85,78,1.56
19,227,-88.63,0,151,0,43,103,1.03,139,2.78
20,186,-63.49,1,151,0,43,80,0.80,94,1.88
21,509,-158.26,6,151,2,43,260,2.60,249,4.98
22,427,-164.14,1,151,1,43,208,2.08,232,4.64
23,821,-308.22,2,151,0,43,423,4.23,420,8.40
24,420,-150.86,2,151,0,43,210,2.10,206,4.12
25,53,-17.68,2,151,0,43,31,0.31,28,0.56
26,28,-7.48,0,151,1,43,19,0.19,13,0.26
27,842,-296.57,2,151,1,43,442,4.42,422,8.44
28,0,-3.00,0,151,0,43,0,0.00,0,0.00
29,142,-54.99,2,151,0,43,76,0.76,73,1.46
30,45,-14.98,1,151,0,43,26,0.26,19,0.38
31,137,-38.26,1,151,1,43,62,0.62,65,1.30
32,332,-112.79,3,151,0,43,167,1.67,166,3.32
33,203,-83.46,1,151,0,43,113,1.13,110,2.20
34,997,-345.20,6,151,0,43,498,4.98,494,9.88
35,143,-41.55,1,151,1,43,60,0.60,73,1.46
36,78,-20.91,1,151,1,43,44,0.44,31,0.62
37,442,-143.31,2,151,1,43,220,2.20,216,4.32
38,1289,-443.76,4,151,1,43,643,6.43,631,12.62
39,275,-94.18,1,151,0,43,136,1.36,145,2.90
40,250,-84.91,2,151,0,43,105,1.05,135,2.70
