Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,547,1.68,4,144,1,43,142,1.42,88,1.76,547,-6.605946
2,401,12.01,4,144,0,43,98,0.98,40,0.80,474,0.4232299
3,283,24.01,1,144,0,43,41,0.41,29,0.58,410,7.725171
4,70,33.55,3,144,1,43,20,0.20,2,0.04,325,13.01944
5,397,12.63,4,144,2,43,117,1.17,75,1.50,339,10.92175
6,461,-24.70,1,144,1,43,120,1.20,74,1.48,359,4.035371
7,236,-24.27,1,144,0,43,72,0.72,47,0.94,342,-0.3444034
8,68,24.96,1,144,1,43,18,0.18,4,0.08,307,2.408618
9,53,12.57,0,144,1,43,10,0.10,8,0.16,279,3.250695
10,168,31.02,2,144,1,43,28,0.28,15,0.30,268,5.597691
11,293,7.34,2,144,0,43,80,0.80,27,0.54,270,5.508349
12,0,-3.00,0,144,0,43,0,0.00,0,0.00,248,4.79932
13,338,12.05,1,144,1,43,78,0.78,28,0.56,255,5.021831
14,678,-92.30,2,144,1,43,224,2.24,155,3.10,285,-2.576158
15,96,34.57,3,144,1,43,31,0.31,4,0.08,272,-0.4198847
16,0,-3.00,0,144,0,43,0,0.00,0,0.00,255,-0.5811419
17,273,16.31,3,144,1,43,75,0.75,26,0.52,256,0.07841643
18,166,13.08,1,144,0,43,18,0.18,5,0.10,251,0.7467261
19,195,2.82,1,144,0,43,26,0.26,10,0.20,248,0.7951891
20,51,3.32,1,144,0,43,8,0.08,1,0.02,238,0.8816598
21,29,6.05,1,144,0,43,8,0.08,1,0.02,228,1.089946
22,138,13.55,1,143,0,43,20,0.20,4,0.08,224,1.612024
23,0,-3.00,0,144,0,43,0,0.00,0,0.00,214,1.411501
24,35,31.09,3,144,1,43,9,0.09,2,0.04,207,2.458914
25,555,-32.91,2,144,0,43,119,1.19,72,1.44,221,0.8833752
26,53,25.38,1,144,1,43,8,0.08,0,0.00,214,1.70613
27,248,-17.34,2,144,0,43,96,0.96,44,0.88,216,0.8812585
28,314,-11.18,2,144,1,43,139,1.39,59,1.18,219,0.2259143
29,0,-3.00,0,144,0,43,0,0.00,0,0.00,211,0.1146758
30,135,29.03,1,144,1,43,18,0.18,7,0.14,209,0.9672628
31,230,-9.20,1,144,1,43,66,0.66,54,1.08,210,0.4858207
32,143,25.23,1,144,1,43,18,0.18,9,0.18,207,1.153476
33,490,53.01,8,144,2,43,142,1.42,79,1.58,216,2.324817
34,236,6.98,0,144,0,43,58,0.58,26,0.52,217,2.429238
35,128,15.55,0,144,1,43,34,0.34,10,0.20,214,2.722382
36,139,26.11,0,144,1,43,22,0.22,3,0.06,212,3.299716
37,0,-3.00,0,144,0,43,0,0.00,0,0.00,206,3.129454
38,133,36.20,1,144,2,43,28,0.28,14,0.28,204,3.84439
39,301,55.60,3,144,2,43,71,0.71,21,0.42,207,4.969901
40,49,2.65,1,144,0,43,13,0.13,3,0.06,203,4.889691
41,66,25.06,1,144,1,43,7,0.07,2,0.04,199,5.305315
42,74,29.75,2,144,1,43,20,0.20,7,0.14,196,5.790705
43,538,-5.90,3,144,1,43,125,1.25,73,1.46,204,5.353339
44,984,-106.62,3,144,1,43,236,2.36,185,3.70,222,2.570455
45,48,2.58,1,144,0,43,11,0.11,3,0.06,218,2.551549
46,1334,-88.90,9,144,4,43,449,4.49,324,6.48,242,-0.01313433
47,294,-1.64,0,144,0,43,46,0.46,11,0.22,244,-0.06218999
48,104,23.14,1,144,1,43,25,0.25,7,0.14,241,0.3500563
49,68,25.42,1,144,1,43,12,0.12,5,0.10,237,0.7956392
50,231,23.18,2,144,1,43,45,0.45,25,0.50,237,1.150134
51,358,40.41,0,144,2,43,62,0.62,24,0.48,239,1.807177
52,65,-9.18,0,144,0,43,24,0.24,5,0.10,236,1.589378
53,33,3.51,1,144,0,43,7,0.07,2,0.04,232,1.61038
54,189,7.66,0,144,1,43,55,0.55,20,0.40,231,1.661784
55,715,-117.48,3,144,2,43,249,2.49,127,2.54,240,-0.7183311
56,0,-3.00,0,144,0,43,0,0.00,0,0.00,236,-0.7590752
57,109,-15.26,0,144,0,43,38,0.38,16,0.32,234,-1.025675
58,357,-7.46,3,144,2,43,143,1.43,73,1.46,236,-1.302488
59,1268,-203.86,7,144,2,43,486,4.86,336,6.72,253,-5.093188
60,232,-1.56,0,144,0,43,34,0.34,5,0.10,253,-5.041694
61,63,-1.47,1,144,0,43,24,0.24,12,0.24,250,-5.002395
62,152,2.00,1,144,0,43,45,0.45,10,0.20,248,-4.91107
63,626,-89.34,4,144,0,43,223,2.23,99,1.98,254,-6.362101
64,871,-9.34,4,144,3,43,217,2.17,122,2.44,264,-6.633134
65,122,7.21,2,144,0,43,32,0.32,17,0.34,262,-6.451706
66,141,24.43,1,144,1,43,22,0.22,5,0.10,260,-6.034435
67,112,23.14,0,144,1,43,14,0.14,3,0.06,257,-5.636668
68,284,24.16,5,144,0,43,79,0.79,25,0.50,258,-5.268533
69,165,18.30,1,144,1,43,42,0.42,22,0.44,257,-4.983201
70,96,43.10,4,144,1,43,24,0.24,8,0.16,254,-4.37489
71,172,19.57,2,144,1,43,45,0.45,26,0.52,253,-4.103652
72,57,2.33,1,144,0,43,13,0.13,4,0.08,250,-4.026926
73,141,6.39,2,144,0,43,48,0.48,12,0.24,249,-3.913179
74,420,-13.33,4,144,1,43,156,1.56,87,1.74,251,-4.15397
75,281,24.20,3,144,0,43,62,0.62,25,0.50,252,-3.81864
76,300,-29.21,1,144,0,43,115,1.15,41,0.82,252,-4.187843
77,262,12.34,2,144,0,43,45,0.45,17,0.34,252,-4.001533
78,460,10.92,4,144,0,43,131,1.31,46,0.92,255,-3.874376
79,44,35.11,3,144,1,43,10,0.10,4,0.08,252,-3.438971
80,345,51.90,1,144,2,43,59,0.59,18,0.36,253,-2.82591
81,155,49.13,4,144,1,43,28,0.28,8,0.16,252,-2.252978
82,81,26.20,1,144,1,43,14,0.14,3,0.06,250,-1.945267
83,53,25.02,1,144,1,43,13,0.13,0,0.00,248,-1.658311
84,227,45.31,6,144,1,43,61,0.61,37,0.74,247,-1.192552
85,315,30.11,3,144,2,43,88,0.88,43,0.86,248,-0.9239955
86,51,8.14,1,144,0,43,9,0.09,0,0.00,246,-0.8277479
87,133,32.10,1,144,1,43,17,0.17,7,0.14,245,-0.487498
88,215,4.99,0,144,0,43,33,0.33,7,0.14,244,-0.4306104
89,189,4.41,0,144,0,43,20,0.20,1,0.02,244,-0.378727
90,131,34.59,1,144,1,43,20,0.20,3,0.06,242,-0.02665172
91,626,-14.96,2,144,1,43,156,1.56,82,1.64,247,-0.2667215
92,266,-28.96,2,144,0,43,91,0.91,65,1.30,247,-0.617752
93,50,3.60,1,144,0,43,18,0.18,2,0.04,245,-0.5822717
94,220,27.50,2,144,2,43,62,0.62,41,0.82,244,-0.3631268
95,50,2.41,1,144,0,43,9,0.09,3,0.06,242,-0.3428274
96,602,-25.74,4,144,1,43,163,1.63,96,1.92,246,-0.6975234
97,442,39.62,3,144,2,43,115,1.15,47,0.94,248,-0.3728974
98,224,16.00,2,144,0,43,34,0.34,13,0.26,248,-0.2260761
99,207,-7.82,1,144,0,43,53,0.53,22,0.44,247,-0.3196083
