Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,73,16.61,0,144,1,43,22,0.22,4,0.08,73,13.98627
2,167,8.53,1,144,1,43,38,0.38,22,0.44,120,9.337921
3,52,23.94,1,144,1,43,13,0.13,0,0.00,97,13.15411
4,91,20.66,2,144,1,43,25,0.25,14,0.28,95,13.96825
5,0,-3.00,0,144,0,43,0,0.00,0,0.00,76,10.5746
6,364,-10.87,2,144,0,43,66,0.66,28,0.56,124,6.565077
7,163,20.38,2,144,0,43,22,0.22,6,0.12,130,8.291136
8,2945,-462.91,6,144,3,43,939,9.39,652,13.04,481,-54.8055
9,623,7.18,4,144,1,43,136,1.36,59,1.18,497,-48.76699
10,624,52.71,4,144,3,43,152,1.52,82,1.64,510,-39.91072
11,108,0.08,0,144,0,43,20,0.20,9,0.18,473,-36.30934
12,147,40.15,1,144,1,43,7,0.07,2,0.04,446,-30.19829
13,101,22.79,1,144,1,43,11,0.11,3,0.06,419,-26.36785
14,969,-70.58,7,144,1,43,300,3.00,199,3.98,459,-30.53803
15,219,-32.08,3,144,0,43,94,0.94,69,1.38,443,-30.9343
16,1166,-85.51,7,144,3,43,380,3.80,270,5.40,488,-35.66013
17,354,52.07,3,144,1,43,69,0.69,22,0.44,480,-30.82533
18,124,-19.12,1,144,0,43,49,0.49,35,0.70,460,-30.27949
19,145,42.28,3,144,1,43,23,0.23,9,0.18,443,-26.71437
20,147,27.67,2,144,1,43,19,0.19,18,0.36,429,-24.20862
21,158,31.34,2,144,1,43,21,0.21,15,0.30,416,-21.7646
22,42,9.69,2,144,0,43,7,0.07,4,0.08,399,-20.405
23,100,42.69,4,144,1,43,16,0.16,10,0.20,386,-17.89927
24,186,31.31,4,144,0,43,36,0.36,15,0.30,377,-15.9922
25,904,-166.47,4,144,0,43,325,3.25,218,4.36,398,-22.42677
26,45,-2.09,1,144,0,43,14,0.14,10,0.20,385,-21.68438
27,70,16.44,1,144,1,43,25,0.25,6,0.12,373,-20.39779
28,108,-6.55,1,144,0,43,25,0.25,15,0.30,364,-19.9475
29,75,2.85,0,144,0,43,8,0.08,6,0.12,354,-19.16811
30,631,32.61,4,144,2,43,138,1.38,87,1.74,363,-17.79396
31,178,1.86,2,144,0,43,38,0.38,17,0.34,357,-17.22806
32,177,5.51,0,144,0,43,38,0.38,13,0.26,351,-16.53735
33,968,36.13,6,144,3,43,246,2.46,121,2.42,370,-15.42707
34,1697,20.54,7,144,3,43,410,4.10,184,3.68,409,-14.9461
35,351,74.25,4,144,2,43,51,0.51,17,0.34,407,-12.6342
36,517,46.15,3,144,1,43,72,0.72,33,0.66,410,-11.16198
37,37,4.32,1,144,0,43,4,0.04,0,0.00,400,-10.76337
38,134,10.02,1,144,0,43,25,0.25,10,0.20,393,-10.2466
39,63,6.61,1,144,0,43,7,0.07,6,0.12,385,-9.837111
40,325,-23.53,2,144,1,43,97,0.97,73,1.46,383,-10.33295
41,448,32.61,7,144,2,43,133,1.33,73,1.46,385,-9.585531
42,317,52.45,3,144,0,43,53,0.53,12,0.24,383,-8.176455
43,670,33.41,4,144,2,43,165,1.65,82,1.64,390,-7.458636
44,225,1.88,1,144,0,43,25,0.25,15,0.30,386,-7.274757
45,106,25.55,1,144,1,43,20,0.20,5,0.10,380,-6.618994
46,650,-17.36,3,144,0,43,116,1.16,68,1.36,386,-6.952508
