Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,210,7.37,1,151,1,43,101,1.01,101,2.02,210,1.355792
2,211,-6.38,1,151,1,43,103,1.03,116,2.32,210,-5.678741
3,772,-85.31,2,151,1,43,390,3.90,412,8.24,397,-37.48698
4,675,-77.55,3,151,0,43,341,3.41,348,6.96,467,-50.59257
5,18,13.89,0,151,1,43,13,0.13,7,0.14,377,-38.21463
6,1519,-200.84,2,151,1,43,764,7.64,763,15.26,567,-69.74311
7,107,-5.31,2,151,0,43,64,0.64,63,1.26,501,-60.99868
8,7,-4.20,0,151,0,43,5,0.05,3,0.06,439,-53.91212
9,203,-3.51,0,151,1,43,100,1.00,102,2.04,413,-48.90797
10,68,-5.21,0,151,0,43,29,0.29,37,0.74,379,-44.64111
11,0,-3.00,0,151,0,43,0,0.00,0,0.00,344,-40.85555
12,499,-55.66,2,151,0,43,270,2.70,236,4.72,357,-42.81808
