Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,408,-155.99,1,144,0,43,199,1.99,203,4.06,408,-162.7357
2,932,-366.93,3,144,0,43,470,4.70,472,9.44,670,-272.9458
3,61,-20.93,1,144,0,43,23,0.23,31,0.62,467,-189.4568
4,175,-33.08,1,144,1,43,76,0.76,80,1.60,394,-151.7081
5,32,-9.64,0,144,0,43,14,0.14,14,0.28,321,-123.3781
6,1316,-501.02,6,144,0,43,627,6.27,666,13.32,487,-190.2781
7,0,-3.00,0,144,0,43,0,0.00,0,0.00,417,-163.5241
8,321,-100.14,1,144,1,43,154,1.54,166,3.32,405,-156.5858
9,70,-22.16,1,144,0,43,33,0.33,36,0.72,368,-141.843
10,65,-9.41,2,144,0,43,31,0.31,30,0.60,338,-128.83
11,247,-78.02,2,144,0,43,124,1.24,114,2.28,329,-124.6575
12,98,-18.83,0,144,1,43,53,0.53,48,0.96,310,-116.1566
13,279,-95.35,2,144,0,43,146,1.46,136,2.72,308,-114.9848
14,50,-19.34,0,144,0,43,20,0.20,33,0.66,289,-108.2141
15,113,-45.24,0,144,0,43,55,0.55,65,1.30,277,-104.1393
16,515,-144.23,3,144,1,43,252,2.52,247,4.94,292,-107.3869
17,222,-62.85,3,144,0,43,110,1.10,114,2.28,288,-105.0884
18,482,-134.44,6,144,1,43,217,2.17,255,5.10,299,-107.4834
19,1301,-513.22,1,144,1,43,637,6.37,651,13.02,351,-130.0175
20,289,-77.67,0,144,1,43,139,1.39,133,2.66,348,-127.7191
21,159,-46.48,1,144,0,43,81,0.81,72,1.44,339,-123.9909
22,248,-62.73,2,144,1,43,133,1.33,119,2.38,335,-121.5437
23,0,-3.00,0,144,0,43,0,0.00,0,0.00,321,-116.3897
24,300,-116.42,1,144,0,43,155,1.55,145,2.90,320,-116.6053
25,310,-93.18,1,144,1,43,158,1.58,160,3.20,319,-115.9801
26,496,-202.11,2,144,1,43,251,2.51,252,5.04,326,-119.7258
27,131,-44.16,1,144,0,43,64,0.64,58,1.16,319,-117.0196
28,71,-21.61,1,144,0,43,31,0.31,41,0.82,310,-113.6772
29,115,-39.30,1,144,0,43,57,0.57,59,1.18,303,-111.1967
30,445,-139.12,2,144,1,43,229,2.29,220,4.40,308,-112.4743
31,1918,-890.86,2,144,1,43,969,9.69,943,18.86,360,-138.6245
32,176,-50.06,0,144,0,43,84,0.84,64,1.28,354,-135.9232
33,41,-1.65,2,144,0,43,23,0.23,19,0.38,345,-131.915
34,966,-359.03,3,144,1,43,462,4.62,473,9.46,363,-139.1387
35,255,-89.83,2,144,0,43,126,1.26,122,2.44,360,-137.8753
36,327,-107.12,2,144,0,43,163,1.63,161,3.22,359,-137.1942
