Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,536,5.39,2,144,0,43,18,0.18,1,0.02,536,3.805367
2,66,12.59,1,144,0,43,1,0.01,0,0.00,301,7.843506
3,123,8.66,1,144,0,43,3,0.03,1,0.02,241,7.868722
4,3533,-154.24,2,144,0,43,162,1.62,3,0.06,1064,-33.42532
5,85,15.25,2,144,0,43,6,0.06,0,0.00,868,-23.98097
6,266,-4.61,0,144,0,43,9,0.09,1,0.02,768,-20.77161
7,84,16.06,1,144,0,43,3,0.03,1,0.02,670,-15.61573
8,41,4.14,0,144,0,43,1,0.01,0,0.00,591,-13.14742
9,550,31.19,1,144,0,43,20,0.20,1,0.02,587,-8.32234
10,67,27.03,3,144,0,43,1,0.01,0,0.00,535,-4.996109
11,484,0.77,4,144,1,43,153,1.53,81,1.62,530,-5.221817
12,19,2.58,1,144,0,43,5,0.05,3,0.06,487,-4.638806
13,111,0.04,1,144,0,43,23,0.23,16,0.32,458,-4.374905
14,663,32.78,3,144,1,43,87,0.87,35,0.70,473,-2.148319
15,226,12.25,2,144,0,43,24,0.24,17,0.34,456,-1.319565
16,542,9.23,3,144,1,43,141,1.41,48,0.96,462,-1.08366
17,80,-3.73,1,144,0,43,7,0.07,1,0.02,439,-1.285202
18,260,5.63,4,144,2,43,100,1.00,77,1.54,429,-1.455057
19,44,4.13,0,144,0,43,1,0.01,0,0.00,409,-1.161541
20,882,10.64,4,144,2,43,241,2.41,110,2.20,433,-1.173542
21,439,14.63,2,144,1,43,103,1.03,38,0.76,433,-0.6833443
22,0,-3.00,0,144,0,43,0,0.00,0,0.00,413,-0.7886469
23,20,-5.07,0,144,0,43,5,0.05,1,0.02,396,-0.9779259
24,562,-41.53,4,144,2,43,205,2.05,140,2.80,403,-3.179125
25,450,56.54,3,144,1,43,64,0.64,17,0.34,405,-1.005821
26,51,-3.70,1,144,0,43,20,0.20,8,0.16,391,-1.150029
27,124,-10.33,1,144,0,43,44,0.44,28,0.56,381,-1.552676
28,118,10.72,1,144,0,43,15,0.15,4,0.08,372,-1.14749
29,44,7.54,1,144,0,43,7,0.07,3,0.06,361,-0.8763353
30,76,-11.31,0,144,0,43,23,0.23,14,0.28,351,-1.240992
31,118,-17.11,1,144,0,43,57,0.57,28,0.56,344,-1.811734
32,256,6.32,2,144,0,43,71,0.71,22,0.44,341,-1.637022
33,140,-11.03,0,144,0,43,11,0.11,2,0.04,335,-1.9263
34,891,33.60,3,144,2,43,248,2.48,78,1.56,351,-1.198374
35,107,13.51,2,144,0,43,19,0.19,11,0.22,344,-0.829514
36,132,9.66,1,144,0,43,23,0.23,6,0.12,338,-0.5671689
37,493,74.50,5,144,2,43,65,0.65,47,0.94,342,1.19922
38,206,-6.15,1,144,0,43,58,0.58,25,0.50,339,0.9591897
39,333,10.51,1,144,0,43,37,0.37,5,0.10,339,1.174278
40,134,22.46,1,144,1,43,30,0.30,4,0.08,333,1.621368
41,80,0.18,0,144,0,43,15,0.15,5,0.10,327,1.580202
42,0,-3.00,0,144,0,43,0,0.00,0,0.00,319,1.47115
43,110,-12.23,0,144,0,43,30,0.30,13,0.26,315,1.139404
44,571,-3.94,7,144,3,43,246,2.46,141,2.82,320,0.6348986
45,0,-3.00,0,144,0,43,0,0.00,0,0.00,313,0.554123
46,348,23.17,3,144,1,43,69,0.69,42,0.84,314,0.9165989
47,270,66.97,4,144,4,43,94,0.94,54,1.08,313,2.021921
48,146,28.95,1,144,1,43,25,0.25,6,0.12,310,2.51232
49,243,12.82,4,144,0,43,79,0.79,31,0.62,308,2.637268
50,52,9.58,1,144,0,43,7,0.07,1,0.02,303,2.760439
51,272,-13.38,2,144,0,43,102,1.02,28,0.56,302,2.385793
52,372,33.95,2,144,1,43,35,0.35,16,0.32,304,2.908426
