Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty
1,204,13.59,3,151,0,43,95,0.10,97,0.19
2,0,-3.00,0,151,0,43,0,0.00,0,0.00
3,72,2.84,1,151,0,43,35,0.04,34,0.07
4,0,-3.00,0,151,0,43,0,0.00,0,0.00
5,36,-1.50,0,151,0,43,15,0.02,18,0.04
6,0,-3.00,0,151,0,43,0,0.00,0,0.00
7,78,0.81,1,151,0,43,38,0.04,37,0.07
8,0,-3.00,0,151,0,43,0,0.00,0,0.00
9,1527,57.92,0,151,2,43,774,0.77,741,1.48
10,0,-3.00,0,151,0,43,0,0.00,0,0.00
11,29,4.24,1,151,1,43,18,0.02,19,0.04
12,0,-3.00,0,151,0,43,0,0.00,0,0.00
13,202,10.55,1,151,0,43,106,0.11,85,0.17
14,0,-3.00,0,151,0,43,0,0.00,0,0.00
15,49,4.57,1,151,1,43,23,0.02,22,0.04
16,0,-3.00,0,151,0,43,0,0.00,0,0.00
17,714,31.94,4,151,1,43,356,0.36,350,0.70
18,0,-3.00,0,151,0,43,0,0.00,0,0.00
19,996,44.00,4,151,1,43,488,0.49,503,1.01
20,0,-3.00,0,151,0,43,0,0.00,0,0.00
21,45,3.98,0,151,1,43,19,0.02,19,0.04
22,0,-3.00,0,151,0,43,0,0.00,0,0.00
23,80,2.18,1,151,0,43,36,0.04,39,0.08
24,0,-3.00,0,151,0,43,0,0.00,0,0.00
25,0,-3.00,0,151,0,43,0,0.00,0,0.00
26,0,-6.00,0,151,0,43,0,0.00,0,0.00
27,108,-2.55,0,151,0,43,55,0.06,55,0.11
28,0,-3.00,0,151,0,43,0,0.00,0,0.00
29,272,16.73,2,151,1,43,133,0.13,148,0.30
30,0,-3.00,0,151,0,43,0,0.00,0,0.00
31,468,22.29,2,151,1,43,254,0.25,229,0.46
32,0,-3.00,0,151,0,43,0,0.00,0,0.00
33,208,10.83,1,151,1,43,103,0.10,119,0.24
34,0,-3.00,0,151,0,43,0,0.00,0,0.00
35,107,3.86,1,151,0,43,50,0.05,60,0.12
36,0,-3.00,0,151,0,43,0,0.00,0,0.00
37,0,-3.00,0,151,0,43,0,0.00,0,0.00
38,0,-6.00,0,151,0,43,0,0.00,0,0.00
39,14,-3.87,1,151,0,43,4,0.00,7,0.01
40,0,-3.00,0,151,0,43,0,0.00,0,0.00
41,294,17.87,3,151,1,43,151,0.15,145,0.29
42,0,-3.00,0,151,0,43,0,0.00,0,0.00
43,463,13.73,1,151,0,43,218,0.22,238,0.48
44,0,-3.00,0,151,0,43,0,0.00,0,0.00
45,249,7.25,1,151,0,43,107,0.11,139,0.28
46,0,-3.00,0,151,0,43,0,0.00,0,0.00
47,2065,86.01,12,151,3,43,979,0.98,1074,2.15
48,0,-3.00,0,151,0,43,0,0.00,0,0.00
49,154,13.19,0,151,1,43,67,0.07,78,0.16
50,0,-3.00,0,151,0,43,0,0.00,0,0.00
51,334,39.51,5,151,3,43,172,0.17,167,0.33
52,0,-3.00,0,151,0,43,0,0.00,0,0.00
53,90,4.52,2,151,0,43,44,0.04,45,0.09
54,0,-3.00,0,151,0,43,0,0.00,0,0.00
55,95,0.83,1,151,0,43,43,0.04,43,0.09
56,0,-3.00,0,151,0,43,0,0.00,0,0.00
57,451,23.53,3,151,1,43,220,0.22,219,0.44
58,0,-3.00,0,151,0,43,0,0.00,0,0.00
59,271,4.82,2,151,0,43,134,0.13,146,0.29
60,551,26.59,2,151,1,43,273,0.27,294,0.59
61,0,-3.00,0,151,0,43,0,0.00,0,0.00
62,42,-4.85,0,151,0,43,21,0.02,17,0.03
63,727,31.43,3,151,1,43,339,0.34,323,0.65
64,0,-3.00,0,151,0,43,0,0.00,0,0.00
65,548,24.36,3,151,1,43,247,0.25,284,0.57
66,0,-3.00,0,151,0,43,0,0.00,0,0.00
67,395,22.56,5,151,1,43,198,0.20,198,0.40
68,0,-3.00,0,151,0,43,0,0.00,0,0.00
69,110,1.37,0,151,0,43,51,0.05,51,0.10
70,0,-3.00,0,151,0,43,0,0.00,0,0.00
71,454,20.62,0,151,1,43,224,0.22,215,0.43
72,0,-3.00,0,151,0,43,0,0.00,0,0.00
73,147,9.89,0,151,1,43,65,0.07,72,0.14
74,0,-3.00,0,151,0,43,0,0.00,0,0.00
75,390,18.94,3,151,0,43,199,0.20,186,0.37
76,0,-3.00,0,151,0,43,0,0.00,0,0.00
77,210,7.06,1,151,0,43,106,0.11,105,0.21
78,0,-3.00,0,151,0,43,0,0.00,0,0.00
79,76,-0.49,0,151,0,43,41,0.04,31,0.06
80,0,-3.00,0,151,0,43,0,0.00,0,0.00
81,67,1.90,1,151,0,43,33,0.03,39,0.08
82,0,-3.00,0,151,0,43,0,0.00,0,0.00
83,660,50.24,6,151,3,43,316,0.32,334,0.67
84,0,-3.00,0,151,0,43,0,0.00,0,0.00
85,104,7.70,2,151,0,43,49,0.05,52,0.10
86,0,-3.00,0,151,0,43,0,0.00,0,0.00
87,588,26.90,3,151,1,43,296,0.30,290,0.58
88,0,-3.00,0,151,0,43,0,0.00,0,0.00
89,1196,46.87,3,151,2,43,622,0.62,633,1.27
90,0,-3.00,0,151,0,43,0,0.00,0,0.00
91,152,4.88,1,151,0,43,71,0.07,75,0.15
92,0,-3.00,0,151,0,43,0,0.00,0,0.00
93,83,6.51,1,151,1,43,45,0.05,44,0.09
94,0,-3.00,0,151,0,43,0,0.00,0,0.00
95,27,-1.05,0,151,0,43,13,0.01,14,0.03
96,0,-3.00,0,151,0,43,0,0.00,0,0.00
97,1772,50.87,8,151,1,43,855,0.86,889,1.78
98,0,-3.00,0,151,0,43,0,0.00,0,0.00
99,168,7.22,2,151,0,43,89,0.09,83,0.17
100,0,-3.00,0,151,0,43,0,0.00,0,0.00
101,1265,58.31,2,151,1,43,629,0.63,634,1.27
102,0,-3.00,0,151,0,43,0,0.00,0,0.00
103,1184,44.13,1,151,1,43,570,0.57,527,1.05
104,0,-3.00,0,151,0,43,0,0.00,0,0.00
105,1194,58.88,7,151,1,43,523,0.52,522,1.04
106,0,-3.00,0,151,0,43,0,0.00,0,0.00
107,1157,41.08,6,151,1,43,588,0.59,602,1.20
108,0,-3.00,0,151,0,43,0,0.00,0,0.00
109,743,19.20,3,151,1,43,378,0.38,372,0.74
110,0,-3.00,0,151,0,43,0,0.00,0,0.00
111,299,11.58,2,151,0,43,144,0.14,143,0.29
112,0,-3.00,0,151,0,43,0,0.00,0,0.00
113,713,32.31,6,151,1,43,367,0.37,369,0.74
114,0,-3.00,0,151,0,43,0,0.00,0,0.00
115,468,22.92,3,151,2,43,230,0.23,221,0.44
116,0,-3.00,0,151,0,43,0,0.00,0,0.00
117,272,10.36,1,151,0,43,129,0.13,130,0.26
118,684,29.86,2,151,1,43,333,0.33,304,0.61
119,0,-3.00,0,151,0,43,0,0.00,0,0.00
120,647,27.75,7,151,0,43,329,0.33,333,0.67
121,0,-3.00,0,151,0,43,0,0.00,0,0.00
122,163,11.93,2,151,1,43,72,0.07,62,0.12
123,0,-3.00,0,151,0,43,0,0.00,0,0.00
124,519,14.44,3,151,0,43,280,0.28,255,0.51
125,0,-3.00,0,151,0,43,0,0.00,0,0.00
126,236,6.78,0,151,0,43,118,0.12,104,0.21
127,0,-3.00,0,151,0,43,0,0.00,0,0.00
128,232,16.05,2,151,1,43,126,0.13,103,0.21
129,0,-3.00,0,151,0,43,0,0.00,0,0.00
130,189,13.36,2,151,1,43,105,0.11,86,0.17
131,0,-3.00,0,151,0,43,0,0.00,0,0.00
132,170,3.34,0,151,0,43,82,0.08,93,0.19
133,0,-3.00,0,151,0,43,0,0.00,0,0.00
134,55,-0.77,1,151,0,43,33,0.03,27,0.05
135,0,-3.00,0,151,0,43,0,0.00,0,0.00
136,712,36.25,2,151,2,43,348,0.35,306,0.61
137,0,-3.00,0,151,0,43,0,0.00,0,0.00
138,107,2.67,1,151,0,43,48,0.05,47,0.09
139,0,-3.00,0,151,0,43,0,0.00,0,0.00
140,454,10.75,1,151,0,43,205,0.21,234,0.47
141,0,-3.00,0,151,0,43,0,0.00,0,0.00
142,0,-3.00,0,151,0,43,0,0.00,0,0.00
143,0,-6.00,0,151,0,43,0,0.00,0,0.00
144,44,-4.10,1,151,0,43,21,0.02,26,0.05
145,0,-3.00,0,151,0,43,0,0.00,0,0.00
146,835,33.93,3,151,1,43,400,0.40,370,0.74
147,0,-3.00,0,151,0,43,0,0.00,0,0.00
148,59,1.23,1,151,0,43,34,0.03,20,0.04
149,0,-3.00,0,151,0,43,0,0.00,0,0.00
150,238,13.85,3,151,1,43,117,0.12,103,0.21
151,0,-3.00,0,151,0,43,0,0.00,0,0.00
152,700,31.75,6,151,1,43,332,0.33,345,0.69
153,0,-3.00,0,151,0,43,0,0.00,0,0.00
154,1335,43.42,4,151,1,43,611,0.61,649,1.30
155,0,-3.00,0,151,0,43,0,0.00,0,0.00
156,102,1.71,0,151,0,43,55,0.06,51,0.10
157,0,-3.00,0,151,0,43,0,0.00,0,0.00
158,97,2.70,1,151,0,43,51,0.05,43,0.09
159,0,-3.00,0,151,0,43,0,0.00,0,0.00
160,113,5.60,2,151,0,43,67,0.07,55,0.11
161,0,-3.00,0,151,0,43,0,0.00,0,0.00
162,217,9.20,0,151,0,43,111,0.11,92,0.18
163,0,-3.00,0,151,0,43,0,0.00,0,0.00
164,285,17.50,3,151,1,43,140,0.14,136,0.27
165,0,-3.00,0,151,0,43,0,0.00,0,0.00
166,164,9.14,1,151,1,43,79,0.08,74,0.15
167,0,-3.00,0,151,0,43,0,0.00,0,0.00
168,191,6.29,1,151,0,43,83,0.08,88,0.18
169,0,-3.00,0,151,0,43,0,0.00,0,0.00
170,261,12.82,1,151,1,43,132,0.13,114,0.23
171,0,-3.00,0,151,0,43,0,0.00,0,0.00
172,59,-0.64,0,151,0,43,27,0.03,30,0.06
173,0,-3.00,0,151,0,43,0,0.00,0,0.00
174,64,5.50,1,151,1,43,25,0.03,26,0.05
175,0,-3.00,0,151,0,43,0,0.00,0,0.00
176,957,36.33,1,151,0,43,476,0.48,439,0.88
177,0,-3.00,0,151,0,43,0,0.00,0,0.00
178,189,7.85,0,151,0,43,88,0.09,78,0.16
179,0,-3.00,0,151,0,43,0,0.00,0,0.00
180,126,4.74,1,151,0,43,67,0.07,59,0.12
181,0,-3.00,0,151,0,43,0,0.00,0,0.00
182,36,-0.94,1,151,0,43,13,0.01,14,0.03
183,0,-3.00,0,151,0,43,0,0.00,0,0.00
184,1347,58.05,4,151,3,43,643,0.64,620,1.24
185,0,-3.00,0,151,0,43,0,0.00,0,0.00
186,628,34.16,4,151,2,43,301,0.30,316,0.63
187,0,-3.00,0,151,0,43,0,0.00,0,0.00
188,248,10.27,1,151,0,43,106,0.11,116,0.23
189,0,-3.00,0,151,0,43,0,0.00,0,0.00
190,1268,32.24,3,151,1,43,610,0.61,603,1.21
191,0,-3.00,0,151,0,43,0,0.00,0,0.00
192,0,-3.00,0,151,0,43,0,0.00,0,0.00
193,0,-6.00,0,151,0,43,0,0.00,0,0.00
194,238,7.94,2,151,0,43,104,0.10,104,0.21
195,0,-3.00,0,151,0,43,0,0.00,0,0.00
196,0,-3.00,0,151,0,43,0,0.00,0,0.00
197,0,-6.00,0,151,0,43,0,0.00,0,0.00
198,256,8.21,0,151,0,43,115,0.12,117,0.23
199,0,-3.00,0,151,0,43,0,0.00,0,0.00
200,57,1.17,0,151,0,43,31,0.03,29,0.06
201,0,-3.00,0,151,0,43,0,0.00,0,0.00
202,0,-3.00,0,151,0,43,0,0.00,0,0.00
203,0,-6.00,0,151,0,43,0,0.00,0,0.00
204,1360,39.36,3,151,0,43,645,0.65,631,1.26
205,0,-3.00,0,151,0,43,0,0.00,0,0.00
206,3813,83.05,7,151,3,43,1933,1.93,2140,4.28
207,0,-3.00,0,151,0,43,0,0.00,0,0.00
208,172,-1.95,1,151,0,43,92,0.09,66,0.13
209,443,22.14,1,151,1,43,221,0.22,181,0.36
210,0,-3.00,0,151,0,43,0,0.00,0,0.00
211,86,2.38,1,151,0,43,46,0.05,39,0.08
212,0,-3.00,0,151,0,43,0,0.00,0,0.00
213,263,12.40,1,151,1,43,119,0.12,108,0.22
214,0,-3.00,0,151,0,43,0,0.00,0,0.00
215,481,22.90,3,151,2,43,259,0.26,240,0.48
216,0,-3.00,0,151,0,43,0,0.00,0,0.00
217,272,10.34,1,151,0,43,140,0.14,126,0.25
218,0,-3.00,0,151,0,43,0,0.00,0,0.00
219,653,46.50,7,151,2,43,300,0.30,284,0.57
220,0,-3.00,0,151,0,43,0,0.00,0,0.00
221,0,-3.00,0,151,0,43,0,0.00,0,0.00
222,0,-6.00,0,151,0,43,0,0.00,0,0.00
223,544,35.17,4,151,1,43,271,0.27,252,0.50
224,0,-3.00,0,151,0,43,0,0.00,0,0.00
225,882,56.77,3,151,3,43,426,0.43,386,0.77
226,0,-3.00,0,151,0,43,0,0.00,0,0.00
227,1067,47.01,4,151,1,43,554,0.55,477,0.95
228,0,-3.00,0,151,0,43,0,0.00,0,0.00
229,1007,26.90,1,151,0,43,481,0.48,462,0.92
230,0,-3.00,0,151,0,43,0,0.00,0,0.00
231,277,14.58,1,151,1,43,136,0.14,102,0.20
232,0,-3.00,0,151,0,43,0,0.00,0,0.00
233,679,28.92,3,151,1,43,315,0.32,288,0.58
234,0,-3.00,0,151,0,43,0,0.00,0,0.00
235,606,28.00,5,151,1,43,315,0.32,308,0.62
236,0,-3.00,0,151,0,43,0,0.00,0,0.00
237,412,11.12,1,151,0,43,195,0.20,205,0.41
238,695,40.36,4,151,2,43,340,0.34,257,0.51
239,0,-3.00,0,151,0,43,0,0.00,0,0.00
240,59,0.92,1,151,0,43,28,0.03,26,0.05
241,0,-3.00,0,151,0,43,0,0.00,0,0.00
242,195,13.83,2,151,1,43,86,0.09,89,0.18
243,0,-3.00,0,151,0,43,0,0.00,0,0.00
244,90,2.29,0,151,0,43,43,0.04,40,0.08
245,0,-3.00,0,151,0,43,0,0.00,0,0.00
246,17,4.30,1,151,1,43,8,0.01,6,0.01
247,0,-3.00,0,151,0,43,0,0.00,0,0.00
248,234,9.25,3,151,0,43,118,0.12,121,0.24
249,0,-3.00,0,151,0,43,0,0.00,0,0.00
250,1475,53.18,4,151,2,43,721,0.72,661,1.32
251,0,-3.00,0,151,0,43,0,0.00,0,0.00
252,956,37.92,3,151,1,43,479,0.48,422,0.84
253,0,-3.00,0,151,0,43,0,0.00,0,0.00
254,1243,57.71,3,151,2,43,636,0.64,530,1.06
255,0,-3.00,0,151,0,43,0,0.00,0,0.00
256,88,0.37,0,151,0,43,48,0.05,41,0.08
257,0,-3.00,0,151,0,43,0,0.00,0,0.00
258,642,33.96,4,151,1,43,303,0.30,265,0.53
259,0,-3.00,0,151,0,43,0,0.00,0,0.00
260,112,1.43,0,151,0,43,67,0.07,50,0.10
261,0,-3.00,0,151,0,43,0,0.00,0,0.00
262,65,4.24,1,151,1,43,29,0.03,32,0.06
263,0,-3.00,0,151,0,43,0,0.00,0,0.00
264,261,17.25,3,151,1,43,117,0.12,118,0.24
265,0,-3.00,0,151,0,43,0,0.00,0,0.00
266,200,7.04,1,151,0,43,101,0.10,107,0.21
