Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,145,18.16,2,144,0,43,16,0.16,5,0.10,145,16.51106
2,375,24.85,2,144,0,43,36,0.36,20,0.40,260,19.60483
3,705,64.84,4,144,3,43,102,1.02,51,1.02,408,30.75009
4,416,-60.17,3,144,0,43,97,0.97,103,2.06,410,6.742262
5,58,-0.60,0,144,0,43,6,0.06,2,0.04,339,5.254765
6,191,9.15,2,144,1,43,58,0.58,25,0.50,315,5.104991
7,92,27.62,2,144,1,43,16,0.16,4,0.08,283,7.756906
8,174,28.64,2,144,1,43,27,0.27,7,0.14,269,9.851399
9,450,-3.50,3,144,2,43,138,1.38,90,1.80,289,7.266712
10,344,45.54,5,144,1,43,53,0.53,18,0.36,295,10.42575
11,574,19.89,3,144,0,43,43,0.43,47,0.94,320,10.97241
12,41,1.70,1,144,0,43,3,0.03,3,0.06,297,10.13446
13,42,-0.59,0,144,0,43,3,0.03,0,0.00,277,9.306901
14,376,8.88,2,144,0,43,55,0.55,44,0.88,284,9.075011
15,200,1.29,2,144,0,43,36,0.36,29,0.58,278,8.400474
16,0,-3.00,0,144,0,43,0,0.00,0,0.00,261,7.687944
17,188,9.32,1,144,1,43,32,0.32,25,0.50,257,7.558016
18,275,7.01,0,144,0,43,22,0.22,18,0.36,258,7.495469
19,0,-3.00,0,144,0,43,0,0.00,0,0.00,244,6.943076
20,140,31.15,1,144,1,43,11,0.11,0,0.00,239,7.996753
21,417,-10.91,1,144,0,43,52,0.52,51,1.02,247,6.990251
22,128,9.42,1,144,0,43,16,0.16,8,0.16,242,7.054575
23,2247,-259.43,1,144,1,43,405,4.05,271,5.42,329,-5.074939
24,418,-50.55,1,144,0,43,102,1.02,77,1.54,333,-7.105256
25,173,16.06,1,144,1,43,48,0.48,21,0.42,326,-6.335405
26,50,-2.44,0,144,0,43,8,0.08,5,0.10,316,-6.192418
27,135,18.42,3,144,0,43,21,0.21,10,0.20,309,-5.373021
28,0,-3.00,0,144,0,43,0,0.00,0,0.00,298,-5.28827
29,69,-2.44,1,144,0,43,12,0.12,11,0.22,290,-5.225561
30,350,-22.33,1,144,0,43,61,0.61,59,1.18,292,-5.878434
31,142,26.00,1,144,1,43,14,0.14,6,0.12,287,-4.955917
32,1305,-82.71,5,144,2,43,301,3.01,239,4.78,319,-7.883105
33,47,20.65,1,144,1,43,8,0.08,3,0.06,311,-7.114299
34,331,9.55,2,144,0,43,37,0.37,25,0.50,311,-6.690549
35,27,21.70,1,144,1,43,7,0.07,1,0.02,303,-5.968122
36,488,-84.92,2,144,0,43,157,1.57,150,3.00,308,-8.326875
37,382,37.72,2,144,2,43,71,0.71,21,0.42,310,-7.276262
38,344,36.36,2,144,1,43,37,0.37,22,0.44,311,-6.246873
39,272,12.01,1,144,1,43,37,0.37,30,0.60,310,-5.881148
40,37,4.77,1,144,0,43,4,0.04,0,0.00,303,-5.633107
41,425,79.19,4,144,2,43,25,0.25,4,0.08,306,-3.753489
42,208,-38.39,2,144,0,43,68,0.68,62,1.24,304,-4.657054
43,556,38.55,2,144,2,43,106,1.06,18,0.36,310,-3.825655
44,25,5.36,1,144,0,43,2,0.02,1,0.02,303,-3.633578
45,429,-70.46,1,144,0,43,149,1.49,134,2.68,306,-5.226606
46,445,-78.66,2,144,0,43,127,1.27,127,2.54,309,-6.935998
47,467,-8.08,3,144,1,43,84,0.84,64,1.28,312,-7.099193
48,251,25.98,1,144,1,43,23,0.23,20,0.40,311,-6.486141
49,59,3.61,1,144,0,43,18,0.18,2,0.04,306,-6.298754
50,809,-54.65,3,144,1,43,181,1.81,149,2.98,316,-7.449831
51,940,-10.03,3,144,1,43,95,0.95,76,1.52,328,-7.635388
52,198,36.95,2,144,1,43,16,0.16,11,0.22,326,-6.856765
