Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,419,-113.39,3,144,1,43,206,2.06,200,4.00,419,-123.861
2,684,-211.03,4,144,1,43,333,3.33,333,6.66,551,-174.994
3,181,-63.59,2,144,0,43,95,0.95,98,1.96,428,-139.2912
4,693,-213.00,3,144,2,43,352,3.52,342,6.84,494,-161.9919
5,70,-16.92,0,144,1,43,35,0.35,40,0.80,409,-133.6725
6,395,-132.62,4,144,0,43,190,1.90,212,4.24,407,-134.9841
7,99,-38.27,0,144,0,43,48,0.48,48,0.96,363,-121.3737
8,18,14.94,1,144,1,43,9,0.09,10,0.20,319,-104.7479
9,169,-42.63,0,144,1,43,81,0.81,82,1.64,303,-98.37603
10,36,-0.62,2,144,0,43,17,0.17,19,0.38,276,-88.79384
11,217,-82.45,0,144,0,43,115,1.15,110,2.20,271,-88.52165
12,410,-146.63,3,144,0,43,209,2.09,209,4.18,282,-94.05972
13,144,-44.78,1,144,0,43,71,0.71,69,1.38,271,-90.48314
14,53,0.89,1,144,1,43,26,0.26,27,0.54,256,-84.22947
15,142,-64.44,0,144,0,43,75,0.75,76,1.52,248,-83.0615
16,494,-193.67,2,144,0,43,265,2.65,240,4.80,264,-90.52725
17,148,-37.17,1,144,1,43,82,0.82,77,1.54,257,-87.7051
18,570,-197.12,5,144,0,43,271,2.71,312,6.24,274,-94.47399
19,437,-137.10,2,144,1,43,205,2.05,213,4.26,283,-97.24485
20,760,-324.24,2,144,1,43,403,4.03,366,7.32,306,-109.3477
21,1610,-622.65,4,144,2,43,800,8.00,805,16.10,369,-135.2921
22,608,-207.02,3,144,0,43,295,2.95,310,6.20,379,-139.0632
23,213,-38.05,1,144,2,43,107,1.07,105,2.10,372,-135.0417
24,66,-21.88,1,144,0,43,38,0.38,36,0.72,359,-130.4014
25,592,-204.46,2,144,1,43,284,2.84,262,5.24,369,-133.8354
26,564,-172.61,4,144,2,43,285,2.85,285,5.70,376,-135.9413
27,14,-1.25,1,144,0,43,5,0.05,7,0.14,363,-130.9854
28,313,-97.83,2,144,0,43,148,1.48,158,3.16,361,-130.0165
29,367,-99.92,3,144,1,43,164,1.64,191,3.82,361,-129.3191
30,138,-37.61,1,144,0,43,71,0.71,66,1.32,354,-126.3528
31,386,-128.57,4,144,0,43,200,2.00,202,4.04,355,-126.7088
32,512,-167.11,3,144,1,43,259,2.59,259,5.18,360,-128.352
33,192,-67.35,1,144,0,43,91,0.91,98,1.96,354,-126.6115
34,66,-9.80,2,144,0,43,34,0.34,29,0.58,346,-123.2438
35,665,-246.24,1,144,1,43,324,3.24,340,6.80,355,-127.1311
36,220,-52.78,2,144,1,43,109,1.09,103,2.06,351,-125.2565
37,515,-183.69,2,144,0,43,275,2.75,245,4.90,356,-127.0801
38,124,-48.25,0,144,0,43,61,0.61,60,1.20,350,-125.0532
39,190,-83.36,1,144,0,43,97,0.97,97,1.94,346,-124.0767
40,77,-27.12,0,144,0,43,40,0.40,40,0.80,339,-121.6828
41,168,-73.55,0,144,0,43,76,0.76,87,1.74,335,-120.5699
42,38,-3.04,0,144,1,43,23,0.23,24,0.48,328,-117.8439
43,1042,-413.89,3,144,0,43,534,5.34,512,10.24,344,-125.1394
44,133,-21.76,2,144,1,43,65,0.65,71,1.42,339,-122.9212
45,2375,-987.14,3,144,1,43,1223,12.23,1214,24.28,385,-143.0353
46,363,-118.77,3,144,0,43,183,1.83,175,3.50,384,-142.6689
47,51,-25.16,0,144,0,43,26,0.26,28,0.56,377,-140.1863
48,220,-83.43,1,144,0,43,115,1.15,115,2.30,374,-139.0901
49,63,7.55,2,144,1,43,32,0.32,26,0.52,367,-136.1905
50,235,-76.75,1,144,0,43,116,1.16,122,2.44,365,-135.0876
51,6,-4.04,0,144,0,43,3,0.03,2,0.04,358,-132.5194
52,83,-38.25,0,144,0,43,49,0.49,50,1.00,352,-130.7352
