Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty
1,226,13.14,2,151,1,43,109,1.09,129,2.58
2,0,-3.00,0,151,0,43,0,0.00,0,0.00
3,224,4.13,0,151,0,43,109,1.09,99,1.98
4,576,16.73,3,151,1,43,283,2.83,293,5.86
5,0,-3.00,0,151,0,43,0,0.00,0,0.00
6,302,0.36,1,151,0,43,132,1.32,146,2.92
7,0,-3.00,0,151,0,43,0,0.00,0,0.00
8,75,-0.55,0,151,0,43,32,0.32,37,0.74
9,0,-3.00,0,151,0,43,0,0.00,0,0.00
10,0,-3.00,0,151,0,43,0,0.00,0,0.00
11,0,-6.00,0,151,0,43,0,0.00,0,0.00
12,64,-3.13,1,151,0,43,34,0.34,30,0.60
13,0,-3.00,0,151,0,43,0,0.00,0,0.00
14,59,0.47,1,151,0,43,28,0.28,30,0.60
15,0,-3.00,0,151,0,43,0,0.00,0,0.00
16,0,-3.00,0,151,0,43,0,0.00,0,0.00
17,0,-6.00,0,151,0,43,0,0.00,0,0.00
18,120,11.19,1,151,2,43,55,0.55,64,1.28
19,0,-3.00,0,151,0,43,0,0.00,0,0.00
20,203,4.78,0,151,0,43,98,0.98,99,1.98
21,0,-3.00,0,151,0,43,0,0.00,0,0.00
22,202,9.10,1,151,1,43,91,0.91,102,2.04
23,139,6.15,1,151,0,43,62,0.62,72,1.44
24,0,-3.00,0,151,0,43,0,0.00,0,0.00
25,25,-1.55,0,151,0,43,12,0.12,15,0.30
26,0,-3.00,0,151,0,43,0,0.00,0,0.00
27,81,-0.26,1,151,0,43,41,0.41,34,0.68
28,0,-3.00,0,151,0,43,0,0.00,0,0.00
29,44,3.38,0,151,1,43,24,0.24,24,0.48
30,0,-3.00,0,151,0,43,0,0.00,0,0.00
31,196,0.55,1,151,0,43,93,0.93,107,2.14
32,0,-3.00,0,151,0,43,0,0.00,0,0.00
33,307,23.18,1,151,2,43,158,1.58,159,3.18
34,0,-3.00,0,151,0,43,0,0.00,0,0.00
35,656,8.42,1,151,0,43,329,3.29,321,6.42
36,0,-3.00,0,151,0,43,0,0.00,0,0.00
37,2520,32.28,4,151,2,43,1228,12.28,1293,25.86
38,0,-3.00,0,151,0,43,0,0.00,0,0.00
39,370,13.57,3,151,1,43,205,2.05,191,3.82
40,0,-3.00,0,151,0,43,0,0.00,0,0.00
41,4,-1.66,1,151,0,43,3,0.03,2,0.04
42,0,-3.00,0,151,0,43,0,0.00,0,0.00
43,1012,27.22,5,151,1,43,494,4.94,497,9.94
44,0,-3.00,0,151,0,43,0,0.00,0,0.00
45,943,7.15,1,151,1,43,479,4.79,473,9.46
46,0,-3.00,0,151,0,43,0,0.00,0,0.00
47,263,3.84,1,151,0,43,137,1.37,139,2.78
48,0,-3.00,0,151,0,43,0,0.00,0,0.00
49,442,12.43,5,151,0,43,218,2.18,240,4.80
50,0,-3.00,0,151,0,43,0,0.00,0,0.00
51,491,35.50,5,151,3,43,234,2.34,245,4.90
52,0,-3.00,0,151,0,43,0,0.00,0,0.00
53,0,-3.00,0,151,0,43,0,0.00,0,0.00
