Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,1566,-215.21,1,144,2,43,794,7.94,777,15.54,1566,-244.031
2,159,6.93,2,144,1,43,71,0.71,83,1.66,862,-121.593
3,269,-30.19,2,144,0,43,139,1.39,149,2.98,664,-93.04526
4,170,-3.69,2,144,0,43,85,0.85,75,1.50,541,-71.64158
5,28,2.45,1,144,0,43,16,0.16,10,0.20,438,-57.0332
6,362,-10.28,2,144,1,43,165,1.65,177,3.54,425,-50.72434
7,1748,-293.34,1,144,1,43,880,8.80,856,17.12,614,-89.51772
8,301,4.63,4,144,1,43,161,1.61,157,3.14,575,-78.98109
9,256,-2.80,2,144,1,43,138,1.38,123,2.46,539,-71.35645
10,131,11.48,1,144,1,43,58,0.58,75,1.50,499,-63.58286
11,28,-3.24,0,144,0,43,17,0.17,12,0.24,456,-58.13423
