Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,257,55.09,2,144,2,43,57,0.57,15,0.30,257,48.17646
2,786,-79.20,5,144,1,43,263,2.63,177,3.54,521,-21.49646
3,98,11.97,1,144,0,43,8,0.08,6,0.12,380,-10.64044
4,120,16.87,0,144,1,43,28,0.28,8,0.16,315,-4.454984
5,97,12.03,1,144,0,43,7,0.07,7,0.14,271,-1.338589
6,306,44.28,3,144,1,43,53,0.53,26,0.52,277,5.354897
7,509,-31.58,3,144,0,43,148,1.48,82,1.64,310,-0.6644031
8,0,-3.00,0,144,0,43,0,0.00,0,0.00,271,-0.9563527
9,220,14.35,2,144,1,43,50,0.50,33,0.66,265,0.2026508
10,52,-2.19,0,144,0,43,9,0.09,3,0.06,244,-0.05160306
11,239,-21.07,1,144,0,43,81,0.81,30,0.60,244,-2.153602
12,175,-11.04,1,144,0,43,49,0.49,30,0.60,238,-3.042989
13,206,53.40,5,144,1,43,39,0.39,14,0.28,235,0.8012816
14,188,9.96,1,144,0,43,16,0.16,11,0.22,232,1.379011
15,361,25.30,4,144,1,43,81,0.81,46,0.92,240,2.518117
16,357,-6.75,1,144,1,43,108,1.08,50,1.00,248,1.620406
17,157,39.01,2,144,2,43,42,0.42,15,0.30,242,3.422317
18,729,-88.90,3,144,2,43,258,2.58,172,3.44,269,-2.415026
19,58,4.92,1,144,0,43,11,0.11,2,0.04,258,-2.073645
20,0,-3.00,0,144,0,43,0,0.00,0,0.00,245,-2.119963
21,161,29.20,2,144,1,43,25,0.25,13,0.26,241,-0.8294645
22,364,14.31,1,144,0,43,55,0.55,25,0.50,247,-0.2204329
23,117,-5.44,0,144,0,43,27,0.27,10,0.20,241,-0.4676737
24,426,23.26,3,144,2,43,114,1.14,60,1.20,249,0.1428802
25,1063,-56.35,8,144,1,43,306,3.06,187,3.74,281,-2.703894
26,54,24.90,1,144,1,43,10,0.10,0,0.00,273,-1.762135
27,106,21.17,3,144,0,43,20,0.20,4,0.08,266,-1.000147
28,359,62.96,2,144,2,43,77,0.77,18,0.36,270,1.027896
29,116,29.10,1,144,1,43,14,0.14,8,0.16,264,1.881321
30,106,23.19,3,144,0,43,14,0.14,5,0.10,259,2.514252
31,293,67.51,2,144,2,43,37,0.37,18,0.36,260,4.392478
32,439,38.60,4,144,1,43,103,1.03,35,0.70,266,5.247982
33,195,-13.35,1,144,0,43,44,0.44,25,0.50,264,4.634867
34,169,35.52,3,144,1,43,32,0.32,17,0.34,261,5.394024
35,47,12.03,2,144,0,43,6,0.06,4,0.08,255,5.539942
36,217,-30.02,1,144,0,43,74,0.74,44,0.88,254,4.487795
37,150,3.80,1,144,0,43,31,0.31,17,0.34,251,4.43278
38,50,6.13,1,143,0,43,14,0.14,5,0.10,245,4.452645
39,368,13.29,2,144,0,43,91,0.91,37,0.74,249,4.601347
40,16,21.13,1,144,1,43,4,0.04,1,0.02,243,4.937438
41,176,8.10,2,144,1,43,33,0.33,34,0.68,241,4.899316
42,311,38.97,2,144,1,43,44,0.44,25,0.50,243,5.599741
43,214,11.28,2,144,0,43,57,0.57,23,0.46,242,5.675522
