Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty
1,475,-42.27,0,151,1,43,235,2.35,241,4.82
2,364,9.43,4,151,1,43,173,1.73,178,3.56
3,65,6.42,2,151,0,43,30,0.30,35,0.70
4,268,-36.33,1,151,0,43,137,1.37,132,2.64
5,366,-0.46,3,151,1,43,196,1.96,187,3.74
6,50,-3.82,0,151,0,43,25,0.25,22,0.44
7,106,-10.59,0,151,0,43,50,0.50,49,0.98
8,65,-4.22,1,151,0,43,27,0.27,28,0.56
9,256,-35.61,1,151,0,43,131,1.31,137,2.74
10,0,-3.00,0,151,0,43,0,0.00,0,0.00
11,223,-6.50,1,151,1,43,108,1.08,117,2.34
12,33,2.99,1,151,0,43,15,0.15,11,0.22
13,939,-58.19,2,151,2,43,462,4.62,461,9.22
14,858,-106.87,3,151,0,43,448,4.48,416,8.32
15,115,2.75,2,151,0,43,61,0.61,57,1.14
16,531,-40.69,2,151,1,43,268,2.68,282,5.64
17,136,-8.32,1,151,0,43,67,0.67,73,1.46
18,752,-61.68,3,151,1,43,356,3.56,383,7.66
19,491,-8.19,3,151,1,43,237,2.37,232,4.64
20,0,-3.00,0,151,0,43,0,0.00,0,0.00
21,553,-34.54,2,151,1,43,276,2.76,276,5.52
22,12,-3.22,0,151,0,43,5,0.05,5,0.10
23,60,-5.75,1,151,0,43,22,0.22,31,0.62
24,137,-1.94,0,151,1,43,79,0.79,70,1.40
25,566,-73.27,3,151,0,43,275,2.75,298,5.96
26,0,-3.00,0,151,0,43,0,0.00,0,0.00
27,62,-3.04,1,151,0,43,30,0.30,28,0.56
28,333,-28.05,2,151,0,43,153,1.53,158,3.16
29,229,7.68,2,151,1,43,112,1.12,112,2.24
30,62,-10.35,0,151,0,43,31,0.31,33,0.66
31,480,-59.07,2,151,0,43,238,2.38,261,5.22
32,887,-63.72,5,151,2,43,463,4.63,447,8.94
33,1125,-78.74,6,151,1,43,554,5.54,566,11.32
34,379,-59.28,1,151,0,43,179,1.79,198,3.96
35,97,0.37,2,151,0,43,47,0.47,48,0.96
36,1963,-278.90,3,151,1,43,998,9.98,1010,20.20
37,54,7.93,0,151,1,43,24,0.24,28,0.56
38,79,-7.19,0,151,0,43,37,0.37,39,0.78
39,150,-17.73,0,151,0,43,82,0.82,84,1.68
40,92,-9.55,0,151,0,43,43,0.43,50,1.00
41,782,-72.30,1,151,1,43,389,3.89,377,7.54
42,27,16.96,1,151,1,43,13,0.13,14,0.28
43,179,3.19,0,151,1,43,86,0.86,85,1.70
44,85,-18.27,0,151,0,43,47,0.47,44,0.88
45,725,-118.19,0,151,0,43,357,3.57,363,7.26
46,176,5.01,3,151,0,43,87,0.87,81,1.62
47,74,8.13,0,151,1,43,39,0.39,32,0.64
