Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,324,34.32,4,144,1,43,93,0.93,29,0.58,324,27.70802
2,79,27.30,1,144,1,43,16,0.16,3,0.06,201,25.88442
3,150,30.89,3,144,0,43,24,0.24,6,0.12,184,26.73767
4,0,-3.00,0,144,0,43,0,0.00,0,0.00,138,19.30325
5,296,-1.32,2,144,1,43,87,0.87,48,0.96,169,14.06993
6,68,-6.25,0,144,0,43,11,0.11,8,0.16,152,10.6377
7,533,-21.92,2,144,1,43,116,1.16,103,2.06,207,4.996302
8,31,-2.69,0,144,0,43,6,0.06,5,0.10,185,4.015428
9,956,-90.78,9,144,2,43,347,3.47,255,5.10,270,-8.680823
10,320,8.43,3,144,1,43,81,0.81,58,1.16,275,-7.607554
11,49,-2.48,0,144,0,43,9,0.09,4,0.08,255,-7.157018
12,55,23.69,1,144,1,43,14,0.14,0,0.00,238,-4.849614
13,124,29.06,2,144,1,43,29,0.29,10,0.20,229,-2.564474
14,368,14.81,3,144,1,43,83,0.83,56,1.12,239,-1.777471
15,238,-24.71,1,144,0,43,50,0.50,39,0.78,239,-3.438141
16,250,-7.63,2,144,0,43,52,0.52,39,0.78,240,-3.868309
17,187,22.70,1,144,1,43,21,0.21,12,0.24,236,-2.509851
18,163,50.03,5,144,1,43,30,0.30,19,0.38,232,0.04921637
19,1036,-64.11,4,144,0,43,230,2.30,146,2.92,275,-3.748619
20,131,22.98,3,144,0,43,24,0.24,9,0.18,267,-2.537328
21,68,29.08,2,144,1,43,15,0.15,6,0.12,258,-1.221244
22,129,31.87,3,144,1,43,23,0.23,14,0.28,252,0.05921017
23,231,25.68,2,144,1,43,40,0.40,19,0.38,251,0.9779583
24,81,5.80,1,144,0,43,6,0.06,4,0.08,244,1.144158
25,59,24.63,1,144,1,43,7,0.07,3,0.06,237,1.957635
26,56,-0.16,1,144,0,43,18,0.18,6,0.12,230,1.838096
27,54,3.42,1,144,0,43,6,0.06,3,0.06,223,1.866459
28,394,-51.59,3,144,1,43,179,1.79,122,2.44,229,-0.3511491
29,100,19.53,0,144,1,43,26,0.26,5,0.10,225,0.2418663
30,242,18.47,3,144,1,43,57,0.57,40,0.80,225,0.6568111
31,190,-2.32,2,144,0,43,55,0.55,25,0.50,224,0.4820679
32,200,-11.50,0,144,0,43,49,0.49,17,0.34,223,0.08167216
33,358,-20.81,4,144,1,43,114,1.14,92,1.84,227,-0.7962937
34,482,-15.25,5,144,2,43,193,1.93,125,2.50,235,-1.590485
35,328,22.62,4,144,1,43,77,0.77,44,0.88,238,-1.091734
36,222,66.81,7,144,1,43,51,0.51,22,0.44,237,0.5683841
37,38,33.35,3,144,1,43,10,0.10,6,0.12,232,1.329241
38,82,14.26,3,144,0,43,12,0.12,11,0.22,228,1.605676
39,290,29.06,0,144,1,43,40,0.40,16,0.32,229,2.231514
40,54,-7.27,0,144,0,43,13,0.13,9,0.18,225,1.986187
41,168,15.22,3,144,1,43,42,0.42,43,0.86,224,2.170194
42,715,-51.44,5,144,1,43,239,2.39,127,2.54,235,0.638367
43,965,-96.49,6,144,1,43,263,2.63,183,3.66,252,-1.917586
44,103,13.10,1,144,0,43,14,0.14,7,0.14,249,-1.59848
45,41,4.47,1,144,0,43,5,0.05,0,0.00,244,-1.480088
46,552,-92.75,2,144,1,43,204,2.04,137,2.74,251,-3.648982
47,272,34.73,1,144,1,43,40,0.40,15,0.30,251,-2.911647
48,37,11.82,2,144,0,43,7,0.07,4,0.08,247,-2.636698
49,54,4.56,1,144,0,43,5,0.05,8,0.16,243,-2.508183
50,569,0.14,4,144,2,43,146,1.46,100,2.00,249,-2.672921
51,457,6.35,3,144,1,43,108,1.08,70,1.40,253,-2.631086
52,184,11.49,2,144,1,43,40,0.40,26,0.52,252,-2.448592
53,10,2.30,1,144,0,43,2,0.02,3,0.06,247,-2.373515
54,324,19.27,3,144,1,43,68,0.68,35,0.70,249,-2.079852
55,251,8.25,2,144,0,43,59,0.59,25,0.50,249,-1.937069
56,327,15.01,2,144,1,43,83,0.83,40,0.80,250,-1.729923
57,493,16.41,3,144,1,43,112,1.12,77,1.54,255,-1.535773
58,112,4.37,1,144,0,43,25,0.25,7,0.14,252,-1.45263
59,1646,-172.04,6,144,5,43,665,6.65,352,7.04,276,-4.843743
60,211,27.32,2,144,1,43,41,0.41,19,0.38,275,-4.382826
61,162,27.16,1,144,1,43,26,0.26,8,0.16,273,-3.922097
62,48,-5.25,0,144,0,43,15,0.15,6,0.12,269,-3.947879
63,56,23.31,1,144,1,43,12,0.12,0,0.00,266,-3.564981
64,14,20.85,1,144,1,43,6,0.06,1,0.02,262,-3.231929
65,301,31.49,2,144,1,43,50,0.50,37,0.74,262,-2.774018
66,54,-0.29,1,144,0,43,11,0.11,10,0.20,259,-2.751656
67,164,54.45,5,144,1,43,34,0.34,9,0.18,258,-1.992162
68,55,-19.29,0,144,0,43,26,0.26,13,0.26,255,-2.254115
69,41,2.93,1,144,0,43,11,0.11,1,0.02,252,-2.190931
70,162,24.14,1,144,1,43,29,0.29,10,0.20,250,-1.864919
71,111,20.87,1,144,1,43,26,0.26,15,0.30,248,-1.595066
72,107,6.79,0,144,0,43,17,0.17,4,0.08,246,-1.482055
73,103,-6.57,0,144,0,43,27,0.27,16,0.32,245,-1.559878
74,104,16.77,1,144,1,43,22,0.22,7,0.14,243,-1.357869
75,145,40.27,2,144,1,43,21,0.21,5,0.10,241,-0.8564377
76,62,37.58,3,144,1,43,11,0.11,2,0.04,239,-0.4106208
77,57,-3.24,0,144,0,43,17,0.17,4,0.08,237,-0.45061
78,630,18.66,6,144,4,43,176,1.76,151,3.02,242,-0.4395104
79,901,-115.76,3,144,1,43,256,2.56,184,3.68,250,-2.034092
80,56,24.28,1,144,1,43,11,0.11,1,0.02,248,-1.744569
81,434,20.61,3,144,2,43,101,1.01,72,1.44,250,-1.581982
82,1390,-248.78,5,144,2,43,513,5.13,439,8.78,264,-4.86529
83,70,7.48,1,144,0,43,12,0.12,4,0.08,261,-4.727341
84,92,14.37,2,144,0,43,17,0.17,3,0.06,259,-4.519226
85,251,20.39,3,144,1,43,59,0.59,38,0.76,259,-4.29394
86,0,-3.00,0,144,0,43,0,0.00,0,0.00,256,-4.278894
87,90,-17.20,1,144,0,43,23,0.23,23,0.46,254,-4.443355
88,73,-7.71,0,144,0,43,9,0.09,11,0.22,252,-4.484018
89,166,9.89,1,144,1,43,37,0.37,22,0.44,251,-4.365558
90,125,11.00,2,144,0,43,26,0.26,15,0.30,250,-4.216482
91,87,19.27,2,144,0,43,10,0.10,1,0.02,248,-3.975005
92,111,-3.54,1,144,0,43,25,0.25,13,0.26,247,-3.983316
93,248,52.12,5,144,1,43,31,0.31,25,0.50,247,-3.45106
94,387,28.89,1,144,2,43,80,0.80,40,0.80,248,-3.180893
95,160,-1.35,2,144,0,43,30,0.30,24,0.48,247,-3.184427
96,120,3.35,0,144,0,43,31,0.31,19,0.38,246,-3.123518
97,142,31.86,4,144,0,43,29,0.29,13,0.26,245,-2.797124
98,222,9.70,1,144,1,43,61,0.61,30,0.60,244,-2.712746
99,52,5.53,1,144,0,43,6,0.06,2,0.04,243,-2.637531
100,5,3.74,1,144,0,43,0,0.00,0,0.00,240,-2.580683
101,192,25.66,3,144,0,43,20,0.20,13,0.26,240,-2.326247
102,162,16.96,1,144,1,43,36,0.36,13,0.26,239,-2.172827
103,303,5.20,1,144,1,43,67,0.67,42,0.84,240,-2.145244
104,45,1.20,1,144,0,43,5,0.05,6,0.12,238,-2.121432
105,105,7.70,2,144,0,43,19,0.19,14,0.28,236,-2.045627
106,124,2.90,2,144,0,43,29,0.29,19,0.38,235,-2.018432
107,61,21.22,1,144,1,43,12,0.12,8,0.16,234,-1.832138
108,369,6.82,2,144,1,43,84,0.84,44,0.88,235,-1.80235
109,381,10.15,1,144,1,43,80,0.80,23,0.46,236,-1.731991
110,85,0.87,1,144,0,43,17,0.17,8,0.16,235,-1.717631
111,347,3.61,2,144,1,43,87,0.87,63,1.26,236,-1.722314
112,48,3.63,1,144,0,43,3,0.03,1,0.02,234,-1.68114
113,457,-1.49,1,144,1,43,108,1.08,47,0.94,236,-1.724031
114,920,-97.93,6,144,2,43,417,4.17,205,4.10,242,-2.717876
115,639,18.83,3,144,1,43,116,1.16,74,1.48,246,-2.591795
116,374,-4.49,1,144,1,43,85,0.85,47,0.94,247,-2.649654
117,54,9.52,1,144,0,43,4,0.04,3,0.06,245,-2.552432
118,183,-3.56,3,144,0,43,50,0.50,32,0.64,245,-2.588285
119,53,8.48,1,144,0,43,1,0.01,0,0.00,243,-2.501211
120,40,32.30,3,144,1,43,16,0.16,5,0.10,241,-2.250137
121,80,-15.78,0,144,0,43,34,0.34,8,0.16,240,-2.366052
122,287,10.78,4,144,1,43,86,0.86,57,1.14,240,-2.316486
123,95,11.30,1,144,0,43,11,0.11,4,0.08,239,-2.212935
124,85,19.80,2,144,0,43,12,0.12,2,0.04,238,-2.04793
125,198,-15.84,1,144,0,43,49,0.49,41,0.82,238,-2.174292
126,240,39.05,2,144,1,43,46,0.46,15,0.30,238,-1.882588
127,160,19.39,0,144,1,43,16,0.16,5,0.10,237,-1.735456
128,644,-130.94,2,144,1,43,229,2.29,170,3.40,240,-2.818347
129,308,-1.14,3,144,1,43,110,1.10,54,1.08,241,-2.856384
130,83,7.66,1,144,0,43,17,0.17,6,0.12,239,-2.783079
131,749,-17.45,1,144,2,43,165,1.65,129,2.58,243,-2.968145
132,40,16.12,0,144,1,43,8,0.08,2,0.04,242,-2.842092
133,312,34.09,2,144,1,43,60,0.60,21,0.42,242,-2.60004
134,0,-3.00,0,144,0,43,0,0.00,0,0.00,240,-2.603025
135,136,3.88,0,144,0,43,10,0.10,1,0.02,240,-2.555861
136,155,-6.88,0,144,0,43,31,0.31,20,0.40,239,-2.592855
137,363,9.51,3,144,1,43,102,1.02,51,1.02,240,-2.551611
138,59,23.67,1,144,1,43,9,0.09,3,0.06,239,-2.384557
139,494,4.32,6,144,2,43,163,1.63,103,2.06,240,-2.426295
140,432,1.17,2,144,1,43,125,1.25,68,1.36,242,-2.445778
141,0,-3.00,0,144,0,43,0,0.00,0,0.00,240,-2.449708
142,44,13.22,0,144,1,43,4,0.04,4,0.08,239,-2.356548
143,532,-32.50,4,144,0,43,154,1.54,92,1.84,241,-2.61042
144,116,9.16,2,144,0,43,16,0.16,17,0.34,240,-2.541781
145,2854,-750.40,2,144,1,43,734,7.34,611,12.22,258,-7.859922
146,33,-2.10,0,144,0,43,9,0.09,5,0.10,256,-7.821766
147,447,-81.61,2,144,0,43,126,1.26,105,2.10,258,-8.356053
148,167,3.66,2,144,0,43,35,0.35,20,0.40,257,-8.289337
149,392,10.79,3,144,0,43,59,0.59,33,0.66,258,-8.183661
150,301,-22.29,2,144,0,43,74,0.74,63,1.26,258,-8.30029
151,58,23.79,1,144,1,43,11,0.11,1,0.02,257,-8.10863
152,127,7.12,2,144,0,43,19,0.19,10,0.20,256,-8.020169
153,231,-17.04,2,144,0,43,83,0.83,37,0.74,256,-8.098484
154,57,-1.76,0,144,0,43,23,0.23,5,0.10,255,-8.059463
155,47,15.83,1,144,1,43,22,0.22,7,0.14,253,-7.927125
156,125,22.30,2,144,0,43,18,0.18,3,0.06,252,-7.743784
157,64,6.18,1,144,0,43,14,0.14,4,0.08,251,-7.6609
158,167,9.30,1,144,0,43,21,0.21,4,0.08,251,-7.55976
159,621,27.73,8,144,4,43,202,2.02,150,3.00,253,-7.462854
160,330,36.38,3,144,1,43,77,0.77,35,0.70,254,-7.225598
161,506,-48.29,4,144,1,43,177,1.77,127,2.54,255,-7.539126
162,214,25.02,3,144,1,43,51,0.51,26,0.52,255,-7.371695
163,103,34.83,3,144,1,43,22,0.22,8,0.16,254,-7.142143
164,78,29.50,1,144,1,43,12,0.12,1,0.02,253,-6.937999
165,0,-3.00,0,144,0,43,0,0.00,0,0.00,251,-6.914133
166,52,22.01,1,144,1,43,11,0.11,0,0.00,250,-6.758765
167,1088,-106.78,8,144,3,43,365,3.65,302,6.04,255,-7.490747
168,520,-31.09,3,144,1,43,164,1.64,104,2.08,257,-7.679616
169,376,27.06,3,144,0,43,60,0.60,31,0.62,257,-7.493631
170,129,45.48,4,144,1,43,26,0.26,13,0.26,257,-7.215121
171,197,-0.34,2,144,0,43,41,0.41,23,0.46,256,-7.188129
172,198,22.49,3,144,0,43,33,0.33,10,0.20,256,-7.030762
173,78,-5.86,0,144,0,43,15,0.15,11,0.22,255,-7.026107
174,456,-0.89,3,144,2,43,174,1.74,84,1.68,256,-7.049222
175,593,-42.00,1,144,1,43,160,1.60,78,1.56,258,-7.284249
176,301,-16.23,2,144,1,43,93,0.93,65,1.30,258,-7.368853
177,1060,-93.29,1,144,1,43,288,2.88,151,3.02,263,-7.904653
178,332,53.69,7,144,1,43,57,0.57,49,0.98,263,-7.607704
179,122,30.25,1,144,1,43,16,0.16,7,0.14,262,-7.414763
180,72,22.70,1,144,1,43,8,0.08,4,0.08,261,-7.265128
181,434,-2.57,5,144,0,43,133,1.33,71,1.42,262,-7.273575
182,0,-3.00,0,144,0,43,0,0.00,0,0.00,261,-7.250094
183,44,-7.43,0,144,0,43,14,0.14,6,0.12,260,-7.252487
184,247,11.40,0,144,1,43,51,0.51,29,0.58,260,-7.169653
185,222,29.23,0,144,2,43,42,0.42,18,0.36,259,-7.002257
186,134,14.94,2,144,0,43,26,0.26,9,0.18,259,-6.894112
187,202,29.01,2,144,1,43,46,0.46,27,0.54,258,-6.727345
188,86,-2.59,0,144,0,43,15,0.15,12,0.24,257,-6.707428
