Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,1555,-129.02,3,144,0,43,276,2.76,190,3.80,1555,-137.6665
2,163,20.99,4,144,0,43,38,0.38,4,0.08,859,-59.95779
3,249,-71.67,2,144,0,43,104,1.04,102,2.04,655,-65.35143
4,265,12.92,2,144,0,43,23,0.23,4,0.08,558,-46.20825
5,96,7.28,2,144,0,43,24,0.24,11,0.22,465,-35.88117
6,833,-19.57,2,144,0,43,129,1.29,65,1.30,526,-33.82548
7,338,68.83,4,144,2,43,24,0.24,16,0.32,499,-20.30211
8,162,4.01,2,144,0,43,24,0.24,22,0.44,457,-17.52181
9,77,19.66,1,144,1,43,18,0.18,4,0.08,415,-13.75478
10,168,31.71,5,144,0,43,26,0.26,9,0.18,390,-9.599209
11,0,-3.00,0,144,0,43,0,0.00,0,0.00,355,-8.999281
12,154,38.99,3,144,1,43,23,0.23,3,0.06,338,-5.391366
13,0,-3.00,0,144,0,43,0,0.00,0,0.00,312,-5.207415
14,258,-14.54,1,144,0,43,58,0.58,40,0.80,308,-6.022172
15,652,6.01,1,144,0,43,41,0.41,14,0.28,331,-5.312584
16,52,-7.69,0,144,0,43,13,0.13,9,0.18,313,-5.480558
17,77,8.62,1,144,0,43,13,0.13,1,0.02,299,-4.700567
18,345,2.19,1,144,1,43,59,0.59,38,0.76,302,-4.560538
19,341,-25.03,1,144,0,43,65,0.65,38,0.76,304,-5.748526
20,194,1.85,2,144,0,43,28,0.28,22,0.44,298,-5.474262
21,59,5.03,1,144,0,43,4,0.04,2,0.04,287,-5.011079
22,439,42.00,4,144,1,43,63,0.63,17,0.34,294,-3.15035
23,321,-11.64,4,144,0,43,87,0.87,57,1.14,295,-3.727677
24,505,47.21,2,144,2,43,73,0.73,30,0.60,304,-1.912424
25,181,-33.29,1,144,0,43,52,0.52,45,0.90,299,-3.252088
26,224,5.11,2,144,0,43,30,0.30,23,0.46,296,-3.013188
27,83,22.18,1,144,1,43,6,0.06,2,0.04,288,-2.195829
28,180,24.90,1,144,1,43,8,0.08,12,0.24,284,-1.347305
29,83,-0.71,0,144,0,43,6,0.06,7,0.14,277,-1.332095
30,1129,-77.14,2,144,1,43,222,2.22,128,2.56,306,-4.142234
31,559,22.27,2,144,2,43,110,1.10,52,1.04,314,-3.554037
32,558,-74.88,3,144,0,43,149,1.49,144,2.88,321,-5.984515
33,343,39.10,4,144,2,43,68,0.68,46,0.92,322,-4.892015
34,184,10.83,1,144,1,43,29,0.29,21,0.42,318,-4.539257
35,732,37.86,6,144,2,43,116,1.16,88,1.76,330,-3.663274
36,0,-3.00,0,144,0,43,0,0.00,0,0.00,321,-3.64485
37,146,7.40,1,144,0,43,12,0.12,8,0.16,316,-3.372569
38,172,26.85,1,144,1,43,16,0.16,6,0.12,312,-2.663982
39,51,-0.59,1,144,0,43,9,0.09,9,0.18,305,-2.63543
40,86,3.09,0,144,0,43,6,0.06,2,0.04,300,-2.494681
41,60,5.78,1,144,0,43,13,0.13,6,0.12,294,-2.315859
42,0,-3.00,0,144,0,43,0,0.00,0,0.00,287,-2.332148
43,1888,-185.34,6,144,2,43,465,4.65,381,7.62,324,-7.078603
44,622,20.76,3,144,2,43,121,1.21,89,1.78,331,-6.667006
45,475,18.25,1,144,1,43,56,0.56,23,0.46,334,-6.203051
46,152,29.66,1,144,1,43,18,0.18,7,0.14,330,-5.496006
47,152,0.60,1,144,0,43,22,0.22,10,0.20,326,-5.390052
48,765,-35.51,3,144,2,43,181,1.81,148,2.96,336,-6.257125
49,260,5.28,2,144,0,43,43,0.43,21,0.42,334,-6.06728
50,131,21.74,1,144,1,43,14,0.14,4,0.08,330,-5.575937
51,66,-4.12,0,144,0,43,7,0.07,4,0.08,325,-5.550282
52,204,14.58,0,144,1,43,23,0.23,19,0.38,322,-5.219597
53,375,45.64,2,144,2,43,44,0.44,4,0.08,323,-4.383748
54,43,0.58,0,144,0,43,7,0.07,4,0.08,318,-4.294616
55,259,28.70,2,144,1,43,32,0.32,17,0.34,317,-3.774258
56,0,-3.00,0,144,0,43,0,0.00,0,0.00,311,-3.760432
57,29,-7.68,0,144,0,43,0,0.00,1,0.02,306,-3.829629
58,216,19.82,1,144,1,43,20,0.20,9,0.18,305,-3.480471
59,399,-11.56,0,144,0,43,54,0.54,33,0.66,306,-3.637676
60,329,80.95,4,144,2,43,15,0.15,9,0.18,307,-2.35721
61,94,-1.30,0,144,0,43,9,0.09,9,0.18,303,-2.344306
62,687,-13.89,4,144,0,43,143,1.43,94,1.88,310,-2.628773
63,97,26.28,1,144,1,43,11,0.11,5,0.10,306,-2.221107
64,0,-3.00,0,144,0,43,0,0.00,0,0.00,301,-2.233277
65,43,3.61,1,144,0,43,9,0.09,4,0.08,297,-2.156605
66,246,22.52,4,144,0,43,37,0.37,13,0.26,297,-1.834326
67,76,9.24,1,144,0,43,4,0.04,4,0.08,293,-1.681234
68,166,33.22,2,144,1,43,14,0.14,14,0.28,291,-1.228734
69,166,-11.52,1,144,0,43,34,0.34,24,0.48,290,-1.399845
70,142,23.30,1,144,1,43,17,0.17,6,0.12,287,-1.094229
71,140,16.44,3,144,0,43,22,0.22,14,0.28,285,-0.8836901
72,0,-3.00,0,144,0,43,0,0.00,0,0.00,281,-0.9130833
73,71,1.92,1,144,0,43,5,0.05,6,0.12,279,-0.8861234
74,254,22.14,1,144,1,43,26,0.26,17,0.34,278,-0.623939
75,458,-0.10,2,144,1,43,95,0.95,56,1.12,281,-0.6940515
76,75,4.46,1,144,0,43,9,0.09,5,0.10,278,-0.6378684
77,82,20.31,1,144,1,43,10,0.10,4,0.08,275,-0.4073516
