Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,158,33.92,1,144,0,43,14,0.14,4,0.08,158,33.00125
2,143,5.19,1,144,0,43,40,0.40,23,0.46,150,18.3198
3,158,34.47,1,144,1,43,30,0.30,5,0.10,153,22.564
4,327,5.10,2,144,2,43,100,1.00,73,1.46,196,16.07363
5,52,24.50,1,144,1,43,9,0.09,1,0.02,167,17.13327
6,443,19.16,2,144,1,43,59,0.59,35,0.70,213,16.6364
7,107,4.73,1,144,0,43,22,0.22,13,0.26,198,14.76703
8,95,-9.05,0,144,0,43,25,0.25,12,0.24,185,11.72917
9,298,-22.00,4,144,1,43,111,1.11,98,1.96,197,7.073294
10,402,-5.05,2,144,1,43,129,1.29,58,1.16,218,5.244767
11,202,15.57,1,144,0,43,43,0.43,8,0.16,216,6.066988
12,78,-9.80,2,144,0,43,21,0.21,19,0.38,205,4.580179
13,234,31.98,2,144,1,43,49,0.49,14,0.28,207,6.342562
14,187,6.34,4,144,0,43,65,0.65,25,0.50,206,6.061569
15,89,0.48,1,144,0,43,13,0.13,12,0.24,198,5.618624
16,87,21.01,1,144,1,43,12,0.12,2,0.04,191,6.38202
17,103,0.39,1,144,0,43,19,0.19,7,0.14,186,5.969571
18,128,-5.65,2,144,0,43,48,0.48,25,0.50,182,5.192418
19,462,51.33,4,144,2,43,105,1.05,55,1.10,197,7.116462
20,149,13.09,3,144,0,43,33,0.33,20,0.40,195,7.274377
21,107,-4.86,2,144,0,43,41,0.41,24,0.48,190,6.587845
22,111,0.05,1,144,0,43,31,0.31,13,0.26,187,6.23302
23,79,-2.17,2,144,0,43,38,0.38,19,0.38,182,5.774065
24,57,22.91,1,144,1,43,13,0.13,1,0.02,177,6.356102
25,479,52.68,3,144,1,43,83,0.83,30,0.60,189,7.975662
26,138,-18.26,1,144,0,43,50,0.50,34,0.68,187,6.894506
27,441,6.66,3,144,1,43,142,1.42,54,1.08,196,6.629907
28,150,-0.52,1,144,0,43,32,0.32,13,0.26,195,6.329039
29,111,2.26,1,144,0,43,26,0.26,11,0.22,192,6.148164
30,269,9.84,2,144,1,43,84,0.84,48,0.96,194,6.087538
31,337,-72.43,1,144,0,43,125,1.25,94,1.88,199,3.431235
32,100,14.64,2,144,0,43,26,0.26,7,0.14,196,3.725682
33,0,-3.00,0,144,0,43,0,0.00,0,0.00,190,3.521873
34,42,14.31,1,144,1,43,20,0.20,6,0.12,185,3.740925
35,164,2.05,1,144,0,43,25,0.25,1,0.02,185,3.665057
36,412,34.97,1,144,1,43,48,0.48,16,0.32,191,4.428548
37,315,4.98,4,144,2,43,113,1.13,94,1.88,194,4.1614
38,130,10.51,1,144,1,43,40,0.40,28,0.56,193,4.223813
39,1345,-220.12,6,144,4,43,571,5.71,400,8.00,222,-2.225373
40,517,-71.22,3,144,2,43,231,2.31,153,3.06,230,-4.252809
41,271,15.41,1,144,0,43,31,0.31,11,0.22,231,-3.803039
42,302,-9.95,1,144,1,43,84,0.84,39,0.78,232,-4.059948
43,146,6.46,1,144,0,43,9,0.09,4,0.08,230,-3.835333
44,126,2.49,1,144,0,43,35,0.35,15,0.30,228,-3.722195
45,588,-14.00,4,144,1,43,208,2.08,69,1.38,236,-4.140902
46,121,27.57,1,144,1,43,26,0.26,10,0.20,233,-3.527081
47,183,21.83,2,144,0,43,31,0.31,7,0.14,232,-3.026748
48,205,29.06,3,144,0,43,42,0.42,24,0.48,232,-2.420437
49,216,26.53,1,144,1,43,31,0.31,10,0.20,231,-1.901571
50,0,-3.00,0,144,0,43,0,0.00,0,0.00,227,-1.92354
51,98,11.61,3,144,0,43,26,0.26,15,0.30,224,-1.709973
52,111,0.40,1,144,0,43,26,0.26,13,0.26,222,-1.6927
53,104,41.64,1,144,2,43,24,0.24,12,0.24,220,-0.9849528
54,147,3.24,0,144,0,43,14,0.14,3,0.06,218,-0.9104679
55,420,56.23,2,144,2,43,92,0.92,31,0.62,222,-0.009458507
56,112,-12.13,1,144,0,43,37,0.37,28,0.56,220,-0.2548229
57,431,-22.67,1,144,1,43,136,1.36,66,1.32,224,-0.7481127
58,516,12.00,1,144,1,43,84,0.84,22,0.44,229,-0.6024204
59,130,1.89,1,144,0,43,33,0.33,11,0.22,227,-0.5813363
60,220,-1.25,2,144,1,43,71,0.71,52,1.04,227,-0.6834891
61,423,-0.20,4,144,1,43,153,1.53,58,1.16,230,-0.8032513
62,177,-15.97,0,144,0,43,44,0.44,23,0.46,229,-1.062388
63,468,35.37,2,144,2,43,103,1.03,34,0.68,233,-0.6070836
64,1112,-184.85,7,144,2,43,375,3.75,349,6.98,247,-3.802102
65,180,5.96,1,144,0,43,25,0.25,16,0.32,246,-3.671364
66,168,-6.62,2,144,0,43,58,0.58,38,0.76,245,-3.757389
67,199,-7.70,1,144,0,43,53,0.53,26,0.52,244,-3.842312
68,106,6.84,1,144,0,43,27,0.27,6,0.12,242,-3.701183
