Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,312,-112.55,2,144,0,43,162,1.62,165,3.30,312,-118.8548
2,118,-40.33,0,144,0,43,69,0.69,53,1.06,215,-80.46671
3,332,-102.93,2,144,1,43,169,1.69,163,3.26,254,-90.84286
4,794,-248.33,6,144,1,43,415,4.15,401,8.02,389,-134.8801
5,278,-84.83,3,144,0,43,127,1.27,154,3.08,366,-126.1568
6,363,-133.05,2,144,0,43,179,1.79,190,3.80,366,-128.4684
7,71,-12.94,0,144,1,43,35,0.35,41,0.82,324,-112.4635
8,344,-130.98,1,144,0,43,180,1.80,175,3.50,326,-115.5274
9,42,0.60,2,144,0,43,20,0.20,18,0.36,294,-102.8408
10,0,-3.00,0,144,0,43,0,0.00,0,0.00,265,-92.85674
11,175,-49.54,3,144,0,43,79,0.79,98,1.96,257,-89.35851
12,390,-117.92,3,144,0,43,196,1.96,199,3.98,268,-92.4072
13,783,-279.27,4,144,0,43,399,3.99,386,7.72,307,-107.896
14,0,-3.00,0,144,0,43,0,0.00,0,0.00,285,-100.4034
15,344,-91.20,6,144,0,43,167,1.67,174,3.48,289,-100.4107
16,107,-41.03,0,144,0,43,56,0.56,52,1.04,278,-96.79939
17,252,-70.95,3,144,1,43,119,1.19,127,2.54,276,-95.75757
18,220,-77.28,1,144,0,43,118,1.18,103,2.06,273,-94.94937
19,1703,-696.55,1,144,1,43,873,8.73,911,18.22,348,-128.1897
20,124,-4.14,3,144,1,43,58,0.58,62,1.24,337,-122.2986
21,92,-16.54,0,144,1,43,39,0.39,45,0.90,325,-117.4346
22,436,-135.18,2,144,0,43,209,2.09,216,4.32,330,-118.5957
23,600,-191.08,2,144,1,43,307,3.07,299,5.98,342,-122.3021
24,406,-104.36,3,144,1,43,196,1.96,199,3.98,345,-121.9856
25,603,-222.72,1,144,1,43,310,3.10,312,6.24,355,-126.5095
26,456,-139.61,1,144,1,43,218,2.18,241,4.82,359,-127.3988
27,451,-151.12,0,144,1,43,225,2.25,220,4.40,362,-128.61
28,241,-63.14,3,144,0,43,122,1.22,116,2.32,358,-126.4725
29,58,-26.06,0,144,0,43,27,0.27,33,0.66,348,-123.042
30,1679,-763.47,3,144,0,43,812,8.12,870,17.40,392,-145.3095
31,819,-254.56,5,144,2,43,431,4.31,427,8.54,406,-149.5104
32,75,-19.82,1,144,0,43,44,0.44,32,0.64,395,-145.513
33,81,-26.93,1,144,0,43,40,0.40,40,0.80,386,-141.977
34,280,-53.69,4,144,1,43,140,1.40,138,2.76,383,-139.6527
35,24,-8.06,0,144,0,43,15,0.15,10,0.20,372,-135.903
36,289,-66.71,2,144,1,43,147,1.47,140,2.80,370,-134.2029
37,25,-6.71,1,144,0,43,17,0.17,13,0.26,361,-130.7874
38,876,-265.61,4,144,1,43,431,4.31,412,8.24,374,-134.8001
39,360,-120.54,2,144,0,43,188,1.88,172,3.44,374,-134.6064
40,27,22.09,2,144,1,43,12,0.12,10,0.20,365,-130.79
41,167,-55.78,1,144,0,43,85,0.85,87,1.74,360,-129.0407
42,237,-88.48,1,144,0,43,129,1.29,130,2.60,357,-128.1841
43,140,-47.16,0,144,0,43,74,0.74,62,1.24,352,-126.3459
44,129,-45.41,1,144,0,43,70,0.70,64,1.28,347,-124.5673
45,40,-11.78,1,144,0,43,20,0.20,20,0.40,340,-122.0897
46,108,-22.20,2,144,0,43,53,0.53,54,1.08,335,-119.9835
47,187,-46.27,0,144,1,43,92,0.92,90,1.80,332,-118.5224
48,802,-250.43,3,144,1,43,399,3.99,403,8.06,342,-121.6133
49,57,-18.81,1,144,0,43,23,0.23,29,0.58,336,-119.546
50,301,-55.67,5,144,1,43,155,1.55,143,2.86,335,-118.4727
51,35,-9.25,1,144,0,43,17,0.17,22,0.44,330,-116.3567
52,106,-33.07,1,144,0,43,59,0.59,49,0.98,325,-114.7985
53,373,-131.84,1,144,1,43,204,2.04,191,3.82,326,-115.2876
54,86,-25.22,1,144,0,43,41,0.41,46,0.92,322,-113.6572
55,206,-33.61,2,144,1,43,112,1.12,94,1.88,320,-112.3238
56,174,-61.43,1,144,0,43,93,0.93,87,1.74,317,-111.4751
57,169,-58.12,1,144,0,43,79,0.79,81,1.62,314,-110.5935
58,406,-119.37,2,144,1,43,197,1.97,210,4.20,316,-110.9153
59,61,-7.36,2,144,0,43,29,0.29,26,0.52,312,-109.1973
60,236,-89.96,1,144,0,43,124,1.24,128,2.56,310,-108.9516
61,64,-20.01,1,144,0,43,34,0.34,35,0.70,306,-107.522
62,192,-37.50,4,144,0,43,94,0.94,91,1.82,304,-106.482
63,2499,-904.11,3,144,2,43,1243,12.43,1186,23.72,339,-119.8235
64,1229,-299.82,4,144,2,43,509,5.09,495,9.90,353,-122.9863
65,1033,-263.83,4,144,2,43,435,4.35,446,8.92,364,-125.4716
66,946,-312.53,2,144,0,43,412,4.12,423,8.46,372,-128.5175
67,441,-50.08,3,144,3,43,174,1.74,175,3.50,373,-127.5602
68,284,-70.98,1,144,0,43,103,1.03,114,2.28,372,-126.7871
69,45,-3.36,1,144,0,43,16,0.16,18,0.36,367,-125.0159
70,68,-12.98,1,144,0,43,28,0.28,33,0.66,363,-123.4387
71,141,-26.06,2,144,0,43,58,0.58,57,1.14,360,-122.111
72,397,-71.02,3,144,1,43,158,1.58,149,2.98,360,-121.526
73,132,-28.21,1,144,0,43,50,0.50,49,0.98,357,-120.2775
74,189,-41.78,1,144,0,43,73,0.73,73,1.46,355,-119.2557
75,201,-46.49,0,144,1,43,72,0.72,90,1.80,353,-118.3501
76,178,-48.91,2,144,0,43,80,0.80,78,1.56,351,-117.4858
77,210,-61.07,1,144,0,43,91,0.91,100,2.00,349,-116.7999
78,84,-8.11,2,144,0,43,27,0.27,34,0.68,345,-115.4364
79,839,-164.89,4,144,2,43,365,3.65,356,7.12,352,-116.2928
80,141,-25.47,0,144,1,43,55,0.55,63,1.26,349,-115.2092
81,298,-52.35,2,144,1,43,137,1.37,113,2.26,348,-114.5238
82,766,-176.40,3,144,1,43,310,3.10,299,5.98,353,-115.4429
83,615,-157.24,2,144,0,43,247,2.47,232,4.64,357,-116.0488
84,610,-150.35,2,144,2,43,276,2.76,265,5.30,360,-116.6251
85,68,-14.03,0,144,0,43,31,0.31,23,0.46,356,-115.4271
86,103,-22.69,1,144,0,43,39,0.39,45,0.90,353,-114.3718
87,587,-135.09,4,144,1,43,240,2.40,248,4.96,356,-114.7532
88,343,-70.20,2,144,0,43,140,1.40,125,2.50,356,-114.307
89,1143,-301.27,7,144,0,43,485,4.85,470,9.40,365,-116.6225
90,74,-15.75,1,144,0,43,33,0.33,27,0.54,361,-115.5191
91,562,-124.20,3,144,1,43,241,2.41,227,4.54,364,-115.7393
92,209,-61.71,0,144,0,43,92,0.92,78,1.56,362,-115.1789
93,214,-37.17,2,144,0,43,88,0.88,72,1.44,360,-114.38
94,147,8.42,1,144,2,43,55,0.55,57,1.14,358,-113.1485
