Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,207,-21.33,2,144,0,43,65,0.65,40,0.80,207,-24.16615
2,125,35.73,2,144,1,43,11,0.11,6,0.12,166,3.810926
3,615,19.29,5,144,0,43,96,0.96,40,0.80,315,7.22637
4,135,8.51,2,144,0,43,26,0.26,12,0.24,270,7.075867
5,163,26.99,2,144,1,43,26,0.26,6,0.12,249,10.23907
6,130,4.67,2,144,0,43,38,0.38,11,0.22,229,8.979138
7,164,49.70,4,144,1,43,17,0.17,13,0.26,219,14.00612
8,1290,-99.58,6,144,2,43,362,3.62,215,4.30,353,-2.284851
9,192,43.14,6,144,0,43,23,0.23,21,0.42,335,2.227718
10,1816,-243.59,7,144,2,43,571,5.71,393,7.86,483,-24.66201
11,1733,-218.27,9,144,4,43,580,5.80,460,9.20,597,-45.04025
12,99,21.68,1,144,1,43,14,0.14,3,0.06,555,-39.74854
13,175,32.57,2,144,1,43,27,0.27,11,0.22,526,-34.5091
14,155,11.17,2,144,0,43,31,0.31,10,0.20,499,-31.38214
15,137,35.07,1,144,1,43,8,0.08,2,0.04,475,-27.16104
16,31,6.05,1,144,0,43,2,0.02,0,0.00,447,-25.13004
17,87,13.07,1,144,0,43,4,0.04,1,0.02,426,-22.92763
18,845,21.21,4,144,2,43,199,1.99,91,1.82,449,-21.10016
19,276,0.87,2,144,0,43,54,0.54,24,0.48,440,-20.07066
20,1044,51.43,6,144,3,43,224,2.24,86,1.72,470,-17.25104
21,229,49.58,2,144,1,43,14,0.14,5,0.10,459,-14.25713
22,194,40.87,5,144,0,43,25,0.25,17,0.34,447,-11.93594
23,91,29.37,1,144,1,43,8,0.08,5,0.10,431,-10.27904
24,36,4.05,1,144,0,43,5,0.05,0,0.00,415,-9.7132
25,183,34.14,3,144,1,43,34,0.34,12,0.24,406,-8.158457
26,508,60.78,4,144,2,43,85,0.85,32,0.64,410,-5.849925
27,404,76.53,3,144,2,43,55,0.55,18,0.36,409,-3.081859
28,401,13.36,1,144,1,43,51,0.51,30,0.60,409,-2.642171
29,283,22.13,2,144,1,43,50,0.50,28,0.56,405,-1.952682
30,144,-10.95,0,144,0,43,33,0.33,18,0.36,396,-2.275619
31,74,24.05,1,144,1,43,8,0.08,2,0.04,386,-1.527759
32,192,-6.94,1,144,0,43,39,0.39,18,0.36,379,-1.741929
33,194,15.48,1,144,0,43,13,0.13,5,0.10,374,-1.247937
34,64,1.90,1,144,0,43,16,0.16,5,0.10,365,-1.183464
35,49,5.98,1,144,0,43,3,0.03,1,0.02,356,-0.9999674
36,145,31.45,0,144,1,43,14,0.14,5,0.10,350,-0.1697275
37,708,47.35,5,144,1,43,109,1.09,45,0.90,359,0.9041622
38,200,18.83,2,144,0,43,31,0.31,12,0.24,355,1.324888
39,53,-1.32,2,144,0,43,21,0.21,17,0.34,347,1.207468
40,0,-3.00,0,144,0,43,0,0.00,0,0.00,339,1.102282
41,49,19.53,1,144,1,43,5,0.05,1,0.02,332,1.476449
42,344,0.39,3,144,2,43,102,1.02,76,1.52,332,1.229767
43,87,5.00,0,144,0,43,3,0.03,1,0.02,326,1.316266
44,159,32.97,0,144,1,43,6,0.06,3,0.06,322,1.980135
45,343,42.66,2,144,1,43,54,0.54,13,0.26,323,2.783886
46,0,-3.00,0,144,0,43,0,0.00,0,0.00,316,2.658149
47,1040,-136.60,9,144,4,43,416,4.16,340,6.80,331,-0.8688065
48,379,77.17,2,144,2,43,52,0.52,13,0.26,332,0.6148836
49,150,-9.76,1,144,0,43,41,0.41,27,0.54,329,0.3694998
50,188,0.36,1,144,0,43,19,0.19,5,0.10,326,0.3496851
51,189,45.19,2,144,1,43,13,0.13,8,0.16,323,1.150444
52,299,77.46,7,144,2,43,53,0.53,34,0.68,323,2.41175
53,461,7.54,4,144,2,43,152,1.52,93,1.86,325,2.304577
54,141,6.79,1,144,0,43,22,0.22,8,0.16,322,2.367734
55,147,13.36,2,144,0,43,26,0.26,7,0.14,319,2.535007
56,48,22.59,1,144,1,43,7,0.07,2,0.04,314,2.837174
57,517,36.78,6,144,2,43,115,1.15,69,1.38,317,3.233586
58,221,19.30,1,144,1,43,21,0.21,17,0.34,316,3.449046
