Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,352,48.48,3,144,1,43,59,0.59,15,0.30,352,43.17728
2,108,6.86,1,144,0,43,21,0.21,12,0.24,230,24.44451
3,70,4.12,1,144,0,43,14,0.14,5,0.10,176,17.35688
4,45,0.26,1,144,0,43,17,0.17,7,0.14,143,12.83125
5,176,38.16,2,144,1,43,34,0.34,7,0.14,150,17.05712
6,0,-3.00,0,144,0,43,0,0.00,0,0.00,125,13.71427
7,380,14.60,2,144,1,43,70,0.70,40,0.80,161,13.09631
8,461,-9.79,4,144,1,43,160,1.60,75,1.50,199,9.210452
9,253,34.87,2,144,1,43,54,0.54,14,0.28,205,11.55799
10,390,34.59,3,144,1,43,91,0.91,43,0.86,223,13.24363
11,158,3.32,1,144,0,43,50,0.50,15,0.30,217,12.20541
12,245,39.71,3,144,1,43,49,0.49,13,0.26,219,14.06764
13,209,65.40,3,144,2,43,41,0.41,10,0.20,219,17.45133
14,515,-58.57,4,144,0,43,191,1.91,83,1.66,240,11.56789
15,542,33.83,4,144,2,43,148,1.48,64,1.28,260,12.37309
16,118,9.37,1,144,0,43,15,0.15,6,0.12,251,12.12488
17,525,-15.93,5,144,1,43,174,1.74,107,2.14,267,9.905465
18,119,12.03,1,144,0,43,9,0.09,7,0.14,259,9.972248
19,10,0.43,1,144,0,43,6,0.06,2,0.04,246,9.428055
20,306,-20.94,3,144,1,43,124,1.24,81,1.62,249,7.546296
21,179,-5.58,1,144,0,43,60,0.60,22,0.44,245,6.83878
22,200,43.69,3,144,1,43,29,0.29,7,0.14,243,8.293863
23,267,9.44,1,144,0,43,3,0.03,0,0.00,244,8.312038
24,0,-3.00,0,144,0,43,0,0.00,0,0.00,234,7.840703
25,38,25.46,1,144,1,43,1,0.01,0,0.00,226,8.424213
26,38,31.36,2,144,1,43,2,0.02,0,0.00,219,9.162694
27,39,25.53,1,144,1,43,0,0.00,0,0.00,212,9.657109
28,64,12.33,1,144,0,43,1,0.01,0,0.00,207,9.727489
29,3310,-74.51,6,143,0,43,74,0.74,17,0.34,314,6.640937
30,39,26.01,1,144,1,43,0,0.00,0,0.00,305,7.18593
31,3152,-22.37,4,144,3,43,179,1.79,22,0.44,397,5.846
32,352,30.98,1,144,0,43,4,0.04,1,0.02,395,6.60779
33,48,41.71,3,144,1,43,5,0.05,1,0.02,385,7.535697
34,67,13.25,1,144,0,43,2,0.02,0,0.00,375,7.682723
35,102,1.24,1,144,0,43,1,0.01,0,0.00,367,7.478381
36,71,26.45,3,144,0,43,1,0.01,0,0.00,359,7.94725
37,63,11.73,1,144,0,43,1,0.01,0,0.00,351,8.030326
38,203,40.05,4,144,0,43,8,0.08,3,0.06,347,8.796082
39,3287,-196.74,1,144,0,43,105,1.05,1,0.02,423,3.480568
40,77,16.03,1,144,0,43,1,0.01,0,0.00,414,3.776817
41,88,10.85,2,144,0,43,3,0.03,0,0.00,406,3.914705
42,52,6.97,1,144,0,43,0,0.00,0,0.00,398,3.970952
43,191,25.85,1,144,0,43,3,0.03,3,0.06,393,4.461593
44,10,4.13,1,144,0,43,0,0.00,0,0.00,384,4.438274
45,871,9.67,3,144,1,43,15,0.15,4,0.08,395,4.451494
46,50,11.27,1,144,0,43,1,0.01,0,0.00,387,4.584423
47,246,29.10,2,144,0,43,4,0.04,2,0.04,384,5.074741
48,38,27.01,1,144,1,43,1,0.01,0,0.00,377,5.468624
49,193,5.64,0,144,0,43,3,0.03,0,0.00,373,5.471428
50,81,62.26,3,144,2,43,1,0.01,0,0.00,367,6.472314
51,213,3.81,1,144,0,43,2,0.02,2,0.04,364,6.405307
52,2771,-87.52,3,144,1,43,64,0.64,4,0.08,411,4.500378
53,147,53.02,2,144,1,43,2,0.02,0,0.00,406,5.345407
54,520,58.02,1,144,1,43,16,0.16,6,0.12,408,6.25978
55,129,31.81,2,144,0,43,3,0.03,0,0.00,403,6.698475
56,37,38.05,3,144,1,43,4,0.04,0,0.00,396,7.178905
57,87,10.17,0,144,0,43,3,0.03,0,0.00,391,7.230928
